cell_index,C_state,I_state,total_opportunity,n_supported_sender_receiver_pairs
610,5,7,47.128773,95
611,5,2,99.222786,46
612,5,2,93.35982,60
613,5,2,128.59212,60
614,5,2,74.77402,60
615,5,2,127.681366,60
616,5,2,118.82857,60
617,5,2,96.19276,60
618,5,2,148.50006,60
619,5,2,64.62457,76
620,5,2,127.95204,76
621,5,2,133.0733,61
622,5,2,107.2263,77
623,5,2,56.23637,75
624,5,2,75.2348,77
625,5,2,70.919495,78
626,2,2,33.29373,77
627,5,2,64.69105,76
628,5,2,88.61876,35
629,1,0,25.507744,46
630,1,0,44.088097,34
631,6,3,13.788868,116
632,6,3,19.905235,117
633,1,0,27.008766,35
634,7,5,9.697532,97
635,1,0,7.5203905,46
636,1,0,10.220425,47
637,1,0,14.057407,60
638,1,0,14.626545,35
639,1,0,25.348148,24
640,1,0,2.9562473,76
641,6,5,289.27194,23
642,6,5,340.37674,22
643,6,5,334.05225,33
644,6,6,234.10968,25
645,6,5,326.2563,24
646,6,6,175.44582,35
647,6,5,312.86633,23
648,6,5,249.88641,33
649,6,5,290.75284,34
650,6,5,234.72864,60
651,6,5,301.81802,34
652,6,5,246.72067,59
653,6,5,288.01913,35
654,6,5,274.5675,34
655,6,5,272.8906,33
656,6,5,248.79468,34
657,6,5,250.17242,34
658,6,3,196.38132,77
659,6,5,240.07202,47
660,6,5,225.04443,35
661,6,5,226.25632,34
662,6,5,219.34966,35
663,6,3,148.7196,76
664,6,5,197.61938,34
665,6,5,138.49254,35
666,6,5,153.58176,47
667,6,3,90.49946,77
668,6,5,111.852554,35
669,6,5,92.57037,47
670,6,5,81.34587,61
671,6,7,65.67976,62
672,6,7,65.628555,62
673,6,5,70.98465,62
674,6,7,56.926155,48
675,6,7,46.357384,48
676,3,7,54.57676,62
677,3,7,38.06501,77
678,3,7,63.68523,78
679,0,7,34.894768,117
680,3,5,48.10775,78
681,3,7,45.927948,116
682,0,5,63.507793,96
683,0,5,64.39756,77
684,0,5,68.110855,61
685,0,5,67.96147,95
686,0,5,58.67176,77
687,0,5,71.52327,61
688,0,5,58.55873,61
689,0,5,60.80697,46
690,0,5,59.00843,61
691,0,5,43.38804,61
692,0,5,50.796432,46
693,0,5,36.934822,46
694,0,6,36.03499,34
695,0,6,26.018297,24
696,0,6,22.387278,46
697,0,6,20.706554,35
698,0,5,14.055784,34
699,0,5,14.5636015,61
700,0,5,17.14369,60
701,0,6,13.5192795,47
702,0,6,20.273224,47
703,0,6,28.357063,60
704,0,6,23.075274,46
705,0,6,25.373604,61
706,0,6,37.71632,61
707,0,6,42.376076,61
708,0,6,62.468376,61
709,2,6,36.80706,61
710,2,6,65.93205,61
711,2,2,45.183533,62
712,2,2,62.716785,61
713,2,2,92.9457,60
714,2,2,91.44379,62
715,0,2,117.37293,61
716,2,2,50.920715,61
717,2,2,60.890747,62
718,2,2,117.6527,61
719,2,2,93.57769,61
720,2,2,106.33373,35
721,2,2,57.21302,46
722,2,2,97.758026,34
723,2,2,58.34355,15
724,2,2,87.91666,23
725,2,2,105.322815,23
726,2,2,100.951355,24
727,2,2,88.464905,8
728,2,2,51.03683,4
729,2,2,107.16849,9
730,2,2,98.36105,8
731,2,2,57.946136,4
732,2,2,102.41994,8
733,2,2,88.352615,4
734,2,2,86.66649,8
735,2,2,39.24626,8
736,2,2,74.68293,8
737,2,2,82.87865,8
738,2,2,54.524765,8
739,5,2,77.255394,9
740,5,2,45.39338,9
741,5,2,71.65837,9
742,5,2,91.18934,9
743,5,2,108.39363,9
