C_state,I_state,cell_type,sender_availability,receiver_availability
7,6,CD4+_T_Cells,0.04354184493422508,0.04354184493422508
7,6,CD8+_T_Cells,0.015799911692738533,0.015799911692738533
7,6,DCIS_1,0.0014912362676113844,0.0014912362676113844
7,6,DCIS_2,0.015247903764247894,0.015247903764247894
7,6,Endothelial,0.07491660863161087,0.07491660863161087
7,6,IRF7+_DCs,0.0009511883836239576,0.0009511883836239576
7,6,Invasive_Tumor,0.09033641964197159,0.09033641964197159
7,6,LAMP3+_DCs,0.0001047718760673888,0.0001047718760673888
7,6,Macrophages_1,0.0741974264383316,0.0741974264383316
7,6,Macrophages_2,0.008614221587777138,0.008614221587777138
7,6,Mast_Cells,6.739685341017321e-05,6.739685341017321e-05
7,6,Myoepi_ACTA2+,0.0009941934840753675,0.0009941934840753675
7,6,Myoepi_KRT15+,0.0014638464199379086,0.0014638464199379086
7,6,Perivascular-Like,0.006150030065327883,0.006150030065327883
7,6,Prolif_Invasive_Tumor,0.00031298669637180865,0.00031298669637180865
7,6,Stromal,0.13715289533138275,0.13715289533138275
7,6,Stromal_&_T_Cell_Hybrid,0.0043694148771464825,0.0043694148771464825
7,6,T_Cell_&_Tumor_Hybrid,0.004655166063457727,0.004655166063457727
7,6,Unlabeled,0.5047269463539124,0.5047269463539124
7,7,B_Cells,0.07515957951545715,0.07515957951545715
7,7,CD4+_T_Cells,0.06073073670268059,0.06073073670268059
7,7,CD8+_T_Cells,0.06722167879343033,0.06722167879343033
7,7,DCIS_1,0.0001859188632806763,0.0001859188632806763
7,7,DCIS_2,0.00035973091144114733,0.00035973091144114733
7,7,Endothelial,0.04521467536687851,0.04521467536687851
7,7,IRF7+_DCs,0.018795395269989967,0.018795395269989967
7,7,Invasive_Tumor,0.00655769370496273,0.00655769370496273
7,7,LAMP3+_DCs,0.012434744276106358,0.012434744276106358
7,7,Macrophages_1,0.08781226724386215,0.08781226724386215
7,7,Macrophages_2,0.12253360450267792,0.12253360450267792
7,7,Mast_Cells,0.0072023905813694,0.0072023905813694
7,7,Myoepi_ACTA2+,0.0010544431861490011,0.0010544431861490011
7,7,Myoepi_KRT15+,0.0,0.0
7,7,Perivascular-Like,0.00032042525708675385,0.00032042525708675385
7,7,Prolif_Invasive_Tumor,0.00020409413264133036,0.00020409413264133036
7,7,Stromal,0.16418014466762543,0.16418014466762543
7,7,Stromal_&_T_Cell_Hybrid,0.009319472126662731,0.009319472126662731
7,7,T_Cell_&_Tumor_Hybrid,0.002869448158890009,0.002869448158890009
7,7,Unlabeled,0.31784361600875854,0.31784361600875854
