C_state,I_state_A,I_state_B,n_A,n_B,common_support_features,structural_zero_excluded_features,composition_JS,CCC_soft_JS,CCC_common_support_cosine
7,0,3,1416,253,2528,816,0.3776304078424342,0.7247939676397445,0.5008674192278632
7,0,4,1416,125,2084,1260,0.2759251297779642,0.8201474634097721,0.6571986665278198
7,0,5,1416,636,2677,667,0.38111517347475465,0.6245053980282423,0.39145155400684173
7,0,6,1416,152,2551,793,0.3804627535323714,0.695538792726143,0.3779064935048363
7,0,7,1416,108,2458,886,0.6034194975888192,0.769791609623424,0.5874237226000907
7,1,2,722,580,2319,1025,0.13647614154794857,0.6162879779153765,0.43651884754365733
7,1,3,722,253,2213,1131,0.4909674257402261,0.8943272959180112,0.9288853476380698
7,1,4,722,125,2200,1144,0.21590635366070762,0.6440550367948614,0.6955307820409574
7,1,5,722,636,2452,892,0.4632198252505234,0.8763676010873694,0.89202454199811
7,1,6,722,152,2325,1019,0.4337080973594658,0.894980986520127,0.9204909959715438
7,1,7,722,108,2230,1114,0.6500939032521958,0.9234804915338161,0.9325457489560964
7,2,3,580,253,2565,779,0.44848407636689125,0.8526640713695048,0.8544205980001756
7,2,4,580,125,2261,1083,0.24574255270111875,0.7680126823241089,0.7771857016616681
7,2,5,580,636,2796,548,0.4099653301215923,0.8011693164924425,0.7862846252541348
7,2,6,580,152,2653,691,0.38533632171646687,0.8445260078321765,0.8436564438424634
7,2,7,580,108,2582,762,0.607994468716665,0.8792982788524147,0.7611954879831809
7,3,4,253,125,2128,1216,0.3753678629571918,0.7852676063135866,0.4983254508749553
7,3,5,253,636,2981,363,0.21521344070706108,0.6206094524834759,0.3832849489979697
7,3,6,253,152,2741,603,0.24679370834900402,0.6073166909313067,0.3527066284550324
7,3,7,253,108,2891,453,0.332416329324427,0.46167331338916573,0.3409051833526985
7,4,5,125,636,2369,975,0.3579144001711359,0.7988453685075655,0.5638083473582406
7,4,6,125,152,2203,1141,0.32444669452738184,0.788719470686633,0.5646886330032386
