C_state,category,cell_A,cell_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,opportunity_relative_difference
0,same_I,107198,8679,0.34558460116386414,0.1611652821302414,0.18642850869355654,55,3289,0.27785778045654297
0,same_I,129541,163276,0.46150654554367065,0.4237430989742279,0.3471590258774089,678,2666,0.7743683457374573
0,same_I,160040,101023,0.4471285343170166,0.4795806407928467,0.5455430188283423,132,3212,0.7310954332351685
0,same_I,121247,72497,0.536040723323822,0.6430283188819885,0.32376298135211135,168,3176,0.32092341780662537
0,same_I,98207,117377,0.44518256187438965,inf,0.5850824812306521,154,3190,0.9999874830245972
0,same_I,105538,133553,0.52933669090271,0.2889639437198639,0.7725557711292059,112,3232,0.9330056309700012
0,same_I,97048,125923,0.3794674873352051,0.3558051288127899,0.37517003671690097,253,3091,0.48212379217147827
0,same_I,131349,118787,0.33168622851371765,inf,0.4366254548758566,226,3118,0.628657877445221
0,same_I,107571,95210,0.48862555623054504,0.2559310495853424,0.23539188397906985,112,3232,0.640927791595459
0,same_I,97532,96995,0.2685861885547638,0.5487357378005981,0.3432140175171914,55,3289,0.7659944295883179
0,same_I,38773,77052,0.46128785610198975,inf,0.2810671207450093,273,3071,0.20599572360515594
0,same_I,82080,21959,0.4633074402809143,0.511457622051239,0.3084899812356332,357,2987,0.479305624961853
0,same_I,90128,117238,0.46790269017219543,0.5484409332275391,0.2610055686212458,152,3192,0.21954362094402313
0,same_I,137922,60016,0.44005271792411804,0.5236857533454895,0.34176403913316356,357,2987,0.4456329047679901
0,same_I,139385,107825,0.1814458668231964,0.47368621826171875,0.6991610670423973,122,3222,0.9024754166603088
0,same_I,130326,96982,0.620378315448761,0.49943965673446655,0.15081896483906898,60,3284,0.9451618194580078
0,same_I,152888,111595,0.3625061511993408,0.38758012652397156,0.6234584979897944,641,2703,0.7383543252944946
0,same_I,133779,118390,0.042078129947185516,0.29361116886138916,0.3857004814670849,122,3222,0.927968442440033
0,same_I,138349,116278,0.3381672203540802,0.43942612409591675,0.3793578572771795,141,3203,0.7393954396247864
0,same_I,125912,134079,0.6088957190513611,0.6388139724731445,0.33607124805508826,67,3277,0.9914583563804626
0,same_I,4715,48220,0.3629150986671448,0.4344502389431,0.5319277347259024,284,3060,0.14763446152210236
0,same_I,95606,105152,0.5262100100517273,0.44347918033599854,0.516541418909709,122,3222,0.7808066606521606
0,same_I,6085,64654,0.5192066431045532,0.5229475498199463,0.2730234107829168,124,3220,0.9304101467132568
0,same_I,8097,160139,0.6468789577484131,0.4570600092411041,0.33048176233293314,50,3294,0.9419392347335815
0,same_I,105427,146627,0.6315057873725891,0.4999379813671112,0.5605586708748089,200,3144,0.2835335433483124
0,same_I,134426,20176,0.6212828159332275,0.41388601064682007,0.7842307703685745,81,3263,0.9994763135910034
0,same_I,7341,91206,0.5335376262664795,0.5237118005752563,0.4443437540470301,137,3207,0.08511088043451309
0,same_I,158038,8909,0.5121266841888428,0.6713486313819885,0.20772302654399621,55,3289,0.6927919983863831
0,same_I,12826,118022,0.5227698683738708,0.6784522533416748,0.45495059513268277,270,3074,0.6926168203353882
0,same_I,82625,21416,0.6746900081634521,0.4671059846878052,0.507179284689996,121,3223,0.5893550515174866
0,same_I,64687,77062,0.5204585194587708,0.5743311047554016,0.3149104013203461,61,3283,0.6951026916503906
0,same_I,34875,26333,0.6202712655067444,0.4659176468849182,0.36881152707171116,215,3129,0.40723884105682373
0,same_I,83233,65623,0.4731197953224182,0.4288245737552643,0.530937514268131,227,3117,0.4681236743927002
0,same_I,81168,95641,0.6392262578010559,0.40175706148147583,0.5190371765678556,368,2976,0.17682893574237823
0,same_I,7993,114770,0.3898422122001648,0.5359469652175903,0.5923439056981316,463,2881,0.602791965007782
0,same_I,5157,123436,0.48082101345062256,0.7839386463165283,0.8826752626494151,241,3103,0.9193755984306335
0,same_I,130880,162233,0.20125581324100494,0.4695664048194885,0.391337817765426,153,3191,0.44983187317848206
0,same_I,163401,137890,0.4358365833759308,0.39942511916160583,0.7117107565193247,344,3000,0.9163232445716858
0,same_I,106508,50697,0.5518175363540649,inf,0.619800209541818,222,3122,0.5907317399978638
0,same_I,164876,34859,0.3161015212535858,0.43399837613105774,0.28936622912251386,156,3188,0.4382355213165283
0,same_I,113417,78243,0.6068549752235413,0.4023265540599823,0.24409941616473796,168,3176,0.4500315189361572
0,same_I,36668,65631,0.3310531973838806,0.3974578380584717,0.37461572769641815,490,2854,0.7028545141220093
0,same_I,100393,166212,0.5587921738624573,0.49139317870140076,0.5444514472425093,22,3322,0.947981595993042
0,same_I,93738,101627,0.42504242062568665,0.5371788740158081,0.5616642095952771,219,3125,0.32994452118873596
0,same_I,100013,95166,0.6123323440551758,0.49725183844566345,0.49714949461046554,22,3322,0.7853088974952698
0,same_I,8626,91081,0.4180256724357605,0.34179654717445374,0.538098782993149,329,3015,0.7282944321632385
0,same_I,94287,45233,0.47837650775909424,0.3116670846939087,0.48136295776179483,509,2835,0.14454010128974915
0,same_I,126040,94790,0.309670090675354,0.6012150049209595,0.4289710365771646,230,3114,0.8261886239051819
0,same_I,92809,106300,0.47923174500465393,0.46547454595565796,0.3909109341839846,54,3290,0.8082323670387268
0,same_I,48956,112420,0.5100714564323425,0.5381110906600952,0.6801507835442084,204,3140,0.9239134788513184
0,same_I,37506,36278,0.3003542125225067,inf,0.13195414905639336,488,2856,0.11944519728422165
0,same_I,143891,114321,0.4712146818637848,0.5598193407058716,0.43929176342557774,330,3014,0.15289752185344696
0,same_I,36108,153296,0.5963870286941528,0.599257230758667,0.21030934948958246,129,3215,0.3499206304550171
0,same_I,116286,24201,0.5692533254623413,0.6594051122665405,0.20839266083212427,230,3114,0.6970962882041931
0,same_I,122786,35906,0.6695272922515869,0.37007400393486023,0.6756860793223335,142,3202,0.9434128999710083
0,same_I,141755,79611,0.5627586245536804,0.612127423286438,0.5848249180700302,341,3003,0.883159339427948
0,same_I,27856,78872,0.4621800184249878,inf,0.19349948445853482,180,3164,0.012854480184614658
0,same_I,4859,93997,0.3969893455505371,0.43199726939201355,0.14949567828955002,55,3289,0.17560343444347382
0,same_I,160157,136565,0.49432918429374695,0.41418248414993286,0.48698883106591295,624,2720,0.11293864995241165
0,same_I,96953,117594,0.40806928277015686,0.5023458003997803,0.4300498242255658,60,3284,0.7815430164337158
0,same_I,98328,157277,0.6170772910118103,0.6303799152374268,0.4466154903137397,183,3161,0.8071348667144775
0,same_I,2300,94059,0.42774951457977295,0.5281727910041809,0.5146210161623095,128,3216,0.26061350107192993
0,same_I,2687,73724,0.5505626201629639,0.41262736916542053,0.3700170697527606,492,2852,0.17270660400390625
0,same_I,116147,7549,0.6216841340065002,0.580273449420929,0.34169405880616543,22,3322,0.5370821952819824
0,same_I,93228,107749,0.4278765022754669,0.565843403339386,0.24217158540140027,240,3104,0.4311882257461548
0,same_I,114386,157894,0.6199314594268799,0.5776228308677673,0.5454456576064872,122,3222,0.9087638258934021
0,same_I,97327,138441,0.4346078038215637,0.58469158411026,0.5787773580353224,61,3283,0.4171266555786133
0,same_I,132071,7520,0.5789670944213867,0.6418929696083069,0.6069466908132304,104,3240,0.9827467203140259
0,same_I,97693,151353,0.4487549960613251,0.467751681804657,0.559699959633815,141,3203,0.41746267676353455
0,same_I,27489,123505,0.438736230134964,0.3475767970085144,0.42310259657140503,688,2656,0.756757378578186
0,same_I,143047,7150,0.5101673007011414,inf,0.4218173294614773,121,3223,0.5383681058883667
0,same_I,129307,1934,0.4410317540168762,0.48568445444107056,0.5481627968221889,383,2961,0.2925012409687042
0,same_I,29587,55786,0.49917733669281006,0.4545184373855591,0.4349704523021064,381,2963,0.7239897847175598
0,same_I,137977,139851,0.3552599549293518,0.4704935848712921,0.3926910378189197,345,2999,0.20477968454360962
0,same_I,122748,63155,0.3972291648387909,0.48911526799201965,0.5770339004842628,653,2691,0.521597146987915
0,same_I,6157,129185,0.253898024559021,0.47997745871543884,0.501499826473288,479,2865,0.31507447361946106
0,same_I,143156,154584,0.5227190256118774,inf,0.6343518734451522,288,3056,0.0446644090116024
0,same_I,106236,80265,0.33505287766456604,inf,0.3766797913944929,350,2994,0.7237637042999268
0,same_I,3229,107669,0.6063644289970398,0.4666005074977875,0.4021788347015466,115,3229,0.7971766591072083
0,same_I,94854,132085,0.4034616947174072,0.48797154426574707,0.2659156913463243,348,2996,0.07965200394392014
0,same_I,139092,137956,0.3452235162258148,0.37036260962486267,0.20732501008084414,363,2981,0.5088959336280823
0,same_I,125997,133865,0.44888705015182495,0.5093334317207336,0.8579473777386479,454,2890,0.9935758113861084
0,same_I,11661,126086,0.4495316743850708,0.3269844353199005,0.5452743970112935,121,3223,0.9959137439727783
0,same_I,66442,72863,0.29722097516059875,0.4490577280521393,0.5022760537553543,667,2677,0.31858643889427185
0,same_I,149398,163973,0.36494243144989014,inf,0.48760516376981355,329,3015,0.07237127423286438
0,same_I,125880,122838,0.5128043293952942,0.5638927221298218,0.6541223664538248,239,3105,0.060498207807540894
0,same_I,162578,108131,0.35254988074302673,0.6485891938209534,0.343236655634396,140,3204,0.4066995084285736
0,same_I,149385,130868,0.2697201073169708,0.5328620076179504,0.8954839204375776,147,3197,0.9787718653678894
0,same_I,143910,94207,0.3270389437675476,inf,0.2579457559392202,474,2870,0.2612015902996063
0,same_I,80128,77891,0.4417004883289337,0.6993820667266846,0.541265659160121,140,3204,0.10648464411497116
0,same_I,159200,8661,0.6053945422172546,inf,0.46045621315479623,22,3322,0.4780332148075104
0,same_I,143415,94005,0.4386654198169708,0.6060553789138794,0.3567507130929344,121,3223,0.12434004992246628
0,same_I,76948,42845,0.45520055294036865,0.4755111634731293,0.29303045134092276,358,2986,0.12903279066085815
0,same_I,92882,95163,0.45961329340934753,0.2958662807941437,0.24221407278495521,55,3289,0.7563079595565796
0,same_I,31664,163326,0.5100377798080444,0.6604635715484619,0.4914984452228971,132,3212,0.740958034992218
0,same_I,127798,144960,0.40404391288757324,0.3490348756313324,0.3404682313621412,216,3128,0.13750560581684113
0,same_I,35418,94341,0.6026157736778259,inf,0.4653944170283122,249,3095,0.13365277647972107
0,same_I,144280,117774,0.5776576995849609,0.40816324949264526,0.32601600505219164,495,2849,0.11660879850387573
0,same_I,138742,97602,0.4625113904476166,0.6711750626564026,0.5059441216868905,124,3220,0.1330782026052475
0,same_I,96473,94995,0.5497288107872009,0.616105854511261,0.4806098736149449,112,3232,0.9394705891609192
0,same_I,120229,94281,0.43707045912742615,0.1344035267829895,0.3139105311511875,499,2845,0.31414517760276794
0,same_I,7398,138585,0.34751012921333313,0.6177360415458679,0.7810290032505373,22,3322,0.9491076469421387
0,same_I,146407,163200,0.4217506945133209,0.34116578102111816,0.5799831527903855,281,3063,0.2664654552936554
0,same_I,24266,41044,0.6254599690437317,0.6387366056442261,0.23365546327369713,142,3202,0.32959887385368347
0,same_I,162886,137917,0.4922720193862915,0.10454939305782318,0.4609979671608364,668,2676,0.7731200456619263
0,same_I,82486,13545,0.10716274380683899,0.6627744436264038,0.33774737721196335,22,3322,0.47725796699523926
