C_state,I_state,sender,receiver,composition_pair_availability
0,0,Invasive_Tumor,DCIS_1,1.4188904970069416e-05
0,0,Invasive_Tumor,DCIS_2,0.0005544595187529922
0,0,Invasive_Tumor,Endothelial,0.011014414019882679
0,0,Invasive_Tumor,IRF7+_DCs,0.0001714943937258795
0,0,Invasive_Tumor,Invasive_Tumor,0.049408335238695145
0,0,Invasive_Tumor,LAMP3+_DCs,1.9371407688595355e-05
0,0,Invasive_Tumor,Macrophages_1,0.015716401860117912
0,0,Invasive_Tumor,Macrophages_2,0.000590741925407201
0,0,Invasive_Tumor,Mast_Cells,0.00020586718164850026
0,0,Invasive_Tumor,Myoepi_ACTA2+,0.00045487924944609404
0,0,Invasive_Tumor,Myoepi_KRT15+,0.0
0,0,Invasive_Tumor,Perivascular-Like,0.0008913797209970653
0,0,Invasive_Tumor,Prolif_Invasive_Tumor,0.00836280919611454
0,0,Invasive_Tumor,Stromal,0.08304738998413086
0,0,Invasive_Tumor,Stromal_&_T_Cell_Hybrid,0.0005380239454098046
0,0,Invasive_Tumor,T_Cell_&_Tumor_Hybrid,0.0017402882222086191
0,0,Invasive_Tumor,Unlabeled,0.006762201897799969
0,0,LAMP3+_DCs,B_Cells,1.1461224858066998e-06
0,0,LAMP3+_DCs,CD4+_T_Cells,1.0585367817839142e-05
0,0,LAMP3+_DCs,CD8+_T_Cells,5.55134329260909e-06
0,0,LAMP3+_DCs,DCIS_1,0.0
0,0,LAMP3+_DCs,DCIS_2,1.171592316495662e-06
0,0,LAMP3+_DCs,Endothelial,6.682671937596751e-06
0,0,LAMP3+_DCs,IRF7+_DCs,0.0
0,0,LAMP3+_DCs,Invasive_Tumor,1.9371407688595355e-05
0,0,LAMP3+_DCs,LAMP3+_DCs,7.256067874550354e-06
0,0,LAMP3+_DCs,Macrophages_1,2.1151781766093336e-05
0,0,LAMP3+_DCs,Macrophages_2,1.5563246051897295e-06
0,0,LAMP3+_DCs,Mast_Cells,0.0
0,0,LAMP3+_DCs,Myoepi_ACTA2+,4.4615310912377026e-07
0,0,LAMP3+_DCs,Myoepi_KRT15+,0.0
0,0,LAMP3+_DCs,Perivascular-Like,0.0
0,0,LAMP3+_DCs,Prolif_Invasive_Tumor,2.4995831608976005e-06
0,0,LAMP3+_DCs,Stromal,4.499814531300217e-05
0,0,LAMP3+_DCs,Stromal_&_T_Cell_Hybrid,3.887721049977699e-06
0,0,LAMP3+_DCs,T_Cell_&_Tumor_Hybrid,1.4809944559601718e-06
0,0,LAMP3+_DCs,Unlabeled,9.623575351724867e-06
0,0,Macrophages_1,B_Cells,0.0018606007797643542
0,0,Macrophages_1,CD4+_T_Cells,0.0023570058401674032
0,0,Macrophages_1,CD8+_T_Cells,0.0034625681582838297
0,0,Macrophages_1,DCIS_1,3.1955148642737186e-06
0,0,Macrophages_1,DCIS_2,0.00024512826348654926
0,0,Macrophages_1,Endothelial,0.005183516535907984
0,0,Macrophages_1,IRF7+_DCs,0.00014170502254273742
0,0,Macrophages_1,Invasive_Tumor,0.015716401860117912
0,0,Macrophages_1,LAMP3+_DCs,2.1151781766093336e-05
0,0,Macrophages_1,Macrophages_1,0.017122866585850716
0,0,Macrophages_1,Macrophages_2,0.0004669260233640671
0,0,Macrophages_1,Mast_Cells,6.847434269730002e-05
0,0,Macrophages_1,Myoepi_ACTA2+,0.0003626419056672603
0,0,Macrophages_1,Myoepi_KRT15+,0.0
0,0,Macrophages_1,Perivascular-Like,0.00035572185879573226
0,0,Macrophages_1,Prolif_Invasive_Tumor,0.003405605908483267
0,0,Macrophages_1,Stromal,0.03736477345228195
0,0,Macrophages_1,Stromal_&_T_Cell_Hybrid,0.00041927440906874835
0,0,Macrophages_1,T_Cell_&_Tumor_Hybrid,0.0011831396259367466
0,0,Macrophages_1,Unlabeled,0.0038134444039314985
0,0,Macrophages_2,B_Cells,0.00014534860383719206
0,0,Macrophages_2,CD4+_T_Cells,0.00017296764417551458
0,0,Macrophages_2,CD8+_T_Cells,0.00012655368482228369
0,0,Macrophages_2,DCIS_1,0.0
0,0,Macrophages_2,DCIS_2,3.770589319174178e-05
0,0,Macrophages_2,Endothelial,0.00020226856577210128
0,0,Macrophages_2,IRF7+_DCs,1.4134517186903395e-05
0,0,Macrophages_2,Invasive_Tumor,0.000590741925407201
0,0,Macrophages_2,LAMP3+_DCs,1.5563246051897295e-06
0,0,Macrophages_2,Macrophages_1,0.0004669260233640671
0,0,Macrophages_2,Macrophages_2,0.0002822325914166868
0,0,Macrophages_2,Mast_Cells,1.0652915989339817e-05
0,0,Macrophages_2,Myoepi_ACTA2+,4.112417082069442e-05
0,0,Macrophages_2,Myoepi_KRT15+,0.0
0,0,Macrophages_2,Perivascular-Like,2.45419614657294e-05
0,0,Macrophages_2,Prolif_Invasive_Tumor,0.00012070670345565304
0,0,Macrophages_2,Stromal,0.0014165694592520595
0,0,Macrophages_2,Stromal_&_T_Cell_Hybrid,1.9186250938219018e-05
0,0,Macrophages_2,T_Cell_&_Tumor_Hybrid,7.474872836610302e-05
0,0,Macrophages_2,Unlabeled,0.00016359607980120927
