C_state,metric,category,median,Q25,Q75,separation_AUC_between_gt_within
3,composition_JS,different_I,0.5271576046943665,0.4496375098824501,0.5986576676368713,0.617983625
3,CCC_soft_JS,same_I,0.4715651273727417,0.3655175417661667,0.5736534893512726,0.7571469774707635
3,CCC_soft_JS,different_I,0.6271840035915375,0.5190860629081726,0.7156087756156921,0.7571469774707635
3,CCC_common_support_cosine,same_I,0.38407907963555865,0.30099414465320773,0.46978759442529344,0.60157175
3,CCC_common_support_cosine,different_I,0.42754775565564895,0.34926345749254717,0.5159644593081179,0.60157175
3,common_support_features,same_I,243.0,152.0,377.25,0.571781875
3,common_support_features,different_I,268.0,168.0,386.0,0.571781875
3,opportunity_relative_difference,same_I,0.4159601330757141,0.18184927478432655,0.672540158033371,0.47896675
3,opportunity_relative_difference,different_I,0.38502755761146545,0.1924229934811592,0.6161118298768997,0.47896675
4,composition_JS,same_I,0.4354362487792969,0.3190813884139061,0.5515806674957275,0.65442125
4,composition_JS,different_I,0.5279040634632111,0.4214794561266899,0.6256624609231949,0.65442125
4,CCC_soft_JS,same_I,0.36948317289352417,0.26960158348083496,0.4627373293042183,0.8755068209587605
4,CCC_soft_JS,different_I,0.6460728049278259,0.5142431557178497,0.7835915982723236,0.8755068209587605
4,CCC_common_support_cosine,same_I,0.09136354431229055,0.03720222895592071,0.18150005576847245,0.46420025
4,CCC_common_support_cosine,different_I,0.08113715675316802,0.015878091653185794,0.20130161927646997,0.46420025
4,common_support_features,same_I,52.0,23.0,93.25,0.37876325
4,common_support_features,different_I,26.0,8.0,70.0,0.37876325
4,opportunity_relative_difference,same_I,0.1706152856349945,0.07999064214527607,0.29532144218683243,0.519959125
4,opportunity_relative_difference,different_I,0.18329797685146332,0.08503576181828976,0.31563663482666016,0.519959125
5,composition_JS,same_I,0.46914030611515045,0.35515475273132324,0.5783792436122894,0.584495125
5,composition_JS,different_I,0.5202265679836273,0.40602336823940277,0.6187027841806412,0.584495125
5,CCC_soft_JS,same_I,0.3900962769985199,0.2668910026550293,0.4993545413017273,0.8600131603967134
5,CCC_soft_JS,different_I,0.6308545768260956,0.5258316248655319,0.7043757289648056,0.8600131603967134
5,CCC_common_support_cosine,same_I,0.17275037032395912,0.07276208915514176,0.32663988460795884,0.5861245
5,CCC_common_support_cosine,different_I,0.24433063641775132,0.10009620073538938,0.4361509241286079,0.5861245
5,common_support_features,same_I,22.0,17.0,72.0,0.490592375
5,common_support_features,different_I,21.0,17.0,61.0,0.490592375
5,opportunity_relative_difference,same_I,0.19703179597854614,0.09577366895973682,0.3361232802271843,0.5351
5,opportunity_relative_difference,different_I,0.22268375009298325,0.10796895064413548,0.3721984922885895,0.5351
6,composition_JS,same_I,0.46849025785923004,0.39000043272972107,0.5388612449169159,0.60058575
6,composition_JS,different_I,0.5094252526760101,0.426044300198555,0.5913485437631607,0.60058575
6,CCC_soft_JS,same_I,0.4299808293581009,0.3021467700600624,0.5298013836145401,0.8064445961870987
6,CCC_soft_JS,different_I,0.6312960982322693,0.5153407454490662,0.7194742560386658,0.8064445961870987
6,CCC_common_support_cosine,same_I,0.3560508541797406,0.2814445094982505,0.4464274464904904,0.5955689568706118
6,CCC_common_support_cosine,different_I,0.4015924445937479,0.31495606475722887,0.49996975459325554,0.5955689568706118
6,common_support_features,same_I,359.0,300.0,502.5,0.50649075
6,common_support_features,different_I,361.0,285.5,504.0,0.50649075
6,opportunity_relative_difference,same_I,0.19089530408382416,0.08555988408625126,0.34793105721473694,0.56255925
6,opportunity_relative_difference,different_I,0.2387871891260147,0.10901576094329357,0.4224981218576431,0.56255925
7,composition_JS,same_I,0.35002319514751434,0.19520749151706696,0.4921846017241478,0.781503
7,composition_JS,different_I,0.5532484352588654,0.442687027156353,0.6409514397382736,0.781503
