C_state,region_A,region_B,I_state_A,I_state_B,n_A,n_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,total_opportunity_median_A,total_opportunity_median_B,display_score
0,781,4184,3,7,38,32,0.26335248234184566,0.5106219029743908,0.6555761710123138,339,3005,9.697195053100586,10.957883834838867,0.8113207547169812
0,3513,3892,6,3,31,47,0.21982992394595613,0.5433722560524463,0.6213547282801928,963,2381,39.85842514038086,73.59689331054688,0.810090237899918
0,637,5988,6,3,536,42,0.2229733878120552,0.3932914231126294,0.6227740599380462,1158,2186,9.726129531860352,40.210052490234375,0.8099822978282457
0,568,636,6,7,41,40,0.26138425955194444,0.5211068926245326,0.651619118372552,218,3126,11.550522804260254,41.72966003417969,0.8092698933552092
1,328,5685,2,0,38,116,0.31492973727415324,0.7122779190398772,0.8295484426224885,585,2759,148.32931518554688,33.63328552246094,0.808967661154527
0,636,938,7,6,40,68,0.2704478595894734,0.5523114606824218,0.6624269386431942,1128,2216,41.72966003417969,3.9025237560272217,0.8088597210828548
0,820,3890,3,7,305,60,0.2371265756862833,0.5452913082880965,0.6290994273718811,1132,2212,7.126079082489014,84.10357666015625,0.8076292042657915
1,40,328,6,2,84,38,0.30319151101128194,0.6961954050425068,0.7374405051891384,506,2838,124.87911987304688,148.32931518554688,0.807499676179785
0,636,918,7,6,40,60,0.2749987515464264,0.5564501304661623,0.6679337255132574,1247,2097,41.72966003417969,3.6345162391662598,0.8072837960364405
0,847,1011,5,7,40,61,0.29216983510230193,0.5716374361473565,0.6982728658412978,999,2345,17.092174530029297,40.15950393676758,0.8041103579292777
0,3518,5988,6,3,64,42,0.31129500683779837,0.5649868688350972,0.7720456590611418,638,2706,43.889060974121094,40.210052490234375,0.8024912568541946
0,547,639,3,5,32,168,0.24916008802494613,0.6829206211627231,0.6343922971946372,683,2661,17.406089782714844,9.173097610473633,0.8018436164241614
1,328,1680,2,0,38,118,0.3096294839897516,0.7636764532265379,0.7590513026134309,653,2691,148.32931518554688,58.98744201660156,0.8016061482664825
7,1408,2428,2,0,55,39,0.2759764494224106,0.7807177110088349,0.6643086199776982,349,2995,356.22271728515625,139.18414306640625,0.8013039160658002
0,751,4773,6,5,33,34,0.24972787242321948,0.4988503939286914,0.6341764088152819,1574,1770,82.81951904296875,59.4633674621582,0.8008289797504426
0,636,1112,7,6,40,133,0.225633797673366,0.5693010743956795,0.6185893418060552,1290,2054,41.72966003417969,11.277910232543945,0.8005915115927636
7,330,4359,0,1,525,30,0.3216143399825252,0.9424912221213538,0.9716914987698299,902,2442,54.030757904052734,79.56919860839844,0.8003324554207505
1,3675,5685,6,0,67,116,0.28489814688889475,0.7017640890595679,0.680375139937218,555,2789,49.203861236572266,33.63328552246094,0.8003000733992487
0,639,1011,5,7,168,61,0.2833902605840339,0.5904432363471459,0.6759379258057341,1346,1998,9.173097610473633,40.15950393676758,0.7989508225033461
1,40,371,6,2,84,36,0.28120372966423773,0.7121534384096859,0.6710702382249849,465,2879,124.87911987304688,89.80370330810547,0.7981736539873063
1,76,371,0,2,655,36,0.3110256451518622,0.6699864916754695,0.7585322767651276,561,2783,84.55746459960938,89.80370330810547,0.7980441259012996
0,852,1042,3,7,33,38,0.26097600015029804,0.4638626622029712,0.6419359579472279,623,2721,8.064168930053711,1.418367624282837,0.7963602607832132
0,221,820,7,3,78,305,0.2672288024447881,0.5145881426997714,0.6486805512451409,1568,1776,104.47811126708984,7.126079082489014,0.7955830922671733
0,702,4475,3,7,47,35,0.30786755855167713,0.5520595884152463,0.7370770274077497,798,2546,3.347684383392334,9.042522430419922,0.795475152195501
0,917,4540,3,7,120,48,0.3096786371142875,0.6319077677668709,0.7457797234509743,1290,2054,2.369907855987549,15.384403228759766,0.7954103881524978
0,917,961,3,7,120,47,0.2706965580780175,0.540795771462954,0.6528831505466317,1282,2062,2.369907855987549,7.274176597595215,0.7953888001381634
0,1139,3510,3,7,256,44,0.22876884828416832,0.6170244015452145,0.6172152495432701,1094,2250,8.291614532470703,103.20319366455078,0.7953024480808255
7,1408,2508,2,1,55,55,0.28747096470554906,inf,0.6790688914268241,603,2741,356.22271728515625,228.84442138671875,0.7939208151634212
0,1098,3513,3,6,38,31,0.30916599875732576,0.579097073873182,0.7385550936956891,813,2531,5.007700443267822,39.85842514038086,0.793122058633047
0,1139,4773,3,5,256,34,0.3118852672467769,0.6719008564422873,0.7517551344460354,1851,1493,8.291614532470703,59.4633674621582,0.7927982384180303
0,1139,3513,3,6,256,31,0.21527087022408123,0.5526022196779181,0.6099472843641129,1485,1859,8.291614532470703,39.85842514038086,0.7927118863606925
0,895,986,3,6,78,621,0.24282491661639513,0.46795710702007687,0.6240236811629163,1862,1482,77.6036605834961,17.616920471191406,0.7926039462890203
0,1046,3518,3,6,40,64,0.3108044715991394,0.6276662105820114,0.7454136068977953,582,2762,1.6591744422912598,43.889060974121094,0.7925607702603514
0,895,3569,3,6,78,41,0.2964051535932486,0.4789996196858651,0.6944662478122821,1154,2190,77.6036605834961,88.25746154785156,0.7913518414576227
0,702,3518,3,6,47,64,0.3187053056314677,0.63530514374393,0.7952868876398786,602,2742,3.347684383392334,43.889060974121094,0.7906610249989205
0,1098,3518,3,6,38,64,0.31685609572377416,0.6898044995158136,0.779108862443012,607,2737,5.007700443267822,43.889060974121094,0.7905746729415828
0,547,938,3,6,32,68,0.3122397037698213,0.6110840670804778,0.7484736678689974,751,2593,17.406089782714844,3.9025237560272217,0.7901860886835629
0,639,3569,5,6,168,41,0.29610980624580224,0.5255406957666158,0.6920386614552266,1108,2236,9.173097610473633,88.25746154785156,0.7895168602391952
0,531,636,6,7,91,40,0.25245895415995473,0.5795503170501171,0.6292873790904215,866,2478,63.71247100830078,41.72966003417969,0.7892793920815164
0,636,3892,7,3,40,47,0.21177150142513257,0.49903308220269843,0.6072325031548558,771,2573,41.72966003417969,73.59689331054688,0.7892793920815163
0,5938,5988,6,3,101,42,0.22923044217301927,0.5101343690627845,0.6138168973956493,1263,2081,26.278905868530273,40.210052490234375,0.7891498639955097
0,923,3881,2,6,32,53,0.3181461134640635,0.6535359182156796,0.7856517866613818,1040,2304,14.49146842956543,74.01402282714844,0.7889771598808342
0,1098,3510,3,7,38,44,0.3101010808963262,0.6342928679350419,0.735289819232081,745,2599,5.007700443267822,103.20319366455078,0.7887396917231553
0,566,1011,5,7,65,61,0.306113628398471,0.4715645635636592,0.7206916629956499,466,2878,9.125954627990723,40.15950393676758,0.7887181037088209
0,917,4279,3,5,120,35,0.28998325525416646,0.5628418103732448,0.678638016550875,223,3121,2.369907855987549,11.692805290222168,0.7885238115798109
0,919,3890,6,7,54,60,0.23866763381494538,0.5137733937524007,0.618276582305331,891,2453,14.939245223999023,84.10357666015625,0.7872932947627478
7,330,1396,0,1,525,57,0.32635399740685095,0.9982933370413858,0.991009864124858,156,3188,54.030757904052734,475.8179626464844,0.7866240663183801
0,588,4184,3,7,197,32,0.28392475535815664,0.6221995332379949,0.6656364907818312,339,3005,2.343207359313965,10.957883834838867,0.7859332498596779
0,919,3510,6,7,54,44,0.21864405329341724,0.5464376516557412,0.6074905697589817,1051,2293,14.939245223999023,103.20319366455078,0.7857389577306679
0,1011,3513,7,6,61,31,0.2962443595491495,0.4934553643148389,0.6883806808552724,986,2358,40.15950393676758,39.85842514038086,0.7854583135443202
7,759,4355,0,2,656,31,0.3266807108642043,0.8440259646957209,0.9104110731630225,433,2911,52.793296813964844,75.49816131591797,0.7845947929709426
0,702,3922,3,5,47,32,0.27874601908150937,0.5105696526231832,0.6560507892325119,716,2628,3.347684383392334,16.425308227539062,0.7844005008419326
0,636,720,7,6,40,42,0.2203648853760026,0.5074247009583012,0.607303505204716,800,2544,41.72966003417969,6.7813615798950195,0.7842493847415914
0,764,3892,7,3,100,47,0.24623711065428436,0.5712332198910304,0.6215064195591078,915,2429,4.66430139541626,73.59689331054688,0.783839212469237
2,62,5199,6,2,51,78,0.28394217911763575,0.5667219167075248,0.6639637629215127,873,2471,111.14784240722656,86.98666381835938,0.7837096843832305
0,3577,4550,6,2,86,56,0.2780737531038674,0.6399293115685645,0.6541144273288473,939,2405,50.67858123779297,26.298667907714844,0.7833211001252105
1,197,573,6,0,75,162,0.22520341161076432,0.5457881655989757,0.608312224663079,403,2941,48.94912338256836,99.38247680664062,0.7825007555805018
0,566,720,5,6,65,42,0.24145782688980533,0.5084596346643541,0.6166713972808232,404,2940,9.125954627990723,6.7813615798950195,0.7817235870644618
0,3513,4475,6,7,31,35,0.309738818239718,0.546652297606514,0.7228089804631277,899,2445,39.85842514038086,9.042522430419922,0.7810327706057596
0,637,917,6,3,536,120,0.23497116987107936,0.4708655185581368,0.6122154943519,1547,1797,9.726129531860352,2.369907855987549,0.7806225983334053
0,636,4021,7,3,40,31,0.2778026016709758,0.6819987270840333,0.6515831929291552,537,2807,41.72966003417969,1.3702216148376465,0.7804067181900609
0,919,3528,6,7,54,31,0.27265185357451177,0.44758024861908197,0.6444681249827033,1062,2282,14.939245223999023,89.94400024414062,0.7804067181900609
0,702,3513,3,6,47,31,0.3246594849318566,0.5371944532070803,0.8196581838567525,878,2466,3.347684383392334,39.85842514038086,0.780363542161392
0,3510,4153,7,3,44,31,0.3014278100500104,0.6532451306599462,0.6947045487818659,688,2656,103.20319366455078,7.541404724121094,0.7792409654160011
0,720,852,6,3,42,33,0.2944574556169173,0.5673448053144035,0.6791214166135873,591,2753,6.7813615798950195,8.064168930053711,0.7790898493156599
0,3518,3922,6,5,64,32,0.31681631774586116,0.745996422735188,0.7497032163363196,651,2693,43.889060974121094,16.425308227539062,0.7789819092439878
