region_id,C_state,I_state,n_cells,x_centroid_um,y_centroid_um,total_opportunity_median,supported_pairs_median,dominant_cell_types,C_centroid_0,C_centroid_1,C_centroid_2,C_centroid_3,C_centroid_4,C_centroid_5,C_centroid_6,C_centroid_7,C_centroid_8,C_centroid_9,C_centroid_10,C_centroid_11,C_centroid_12,C_centroid_13,C_centroid_14,C_centroid_15,C_centroid_16,C_centroid_17,C_centroid_18,C_centroid_19,CCC_soft_centroid_0,CCC_soft_centroid_1,CCC_soft_centroid_2,CCC_soft_centroid_3,CCC_soft_centroid_4,CCC_soft_centroid_5,CCC_soft_centroid_6,CCC_soft_centroid_7
5080,2,1,30,5276.39306640625,3800.42431640625,130.72088623046875,33.0,"Myoepi_ACTA2+, DCIS_1, Stromal",0.0008839111542329192,0.0038040808867663145,0.026732586324214935,0.24861501157283783,0.031328942626714706,0.0011273975251242518,0.0,0.0,0.0,0.002800403628498316,0.0,0.0,0.4585442543029785,0.0,0.0,0.0,0.19956335425376892,0.0,0.0,0.02660004235804081,0.0008507262682542205,0.6208686232566833,0.17131003737449646,0.03305995464324951,0.12640242278575897,0.03352300822734833,0.012004214338958263,0.0019810409285128117
5087,6,5,30,5318.1796875,3747.691650390625,154.89479064941406,47.5,"CD4+_T_Cells, CD8+_T_Cells, Macrophages_1",0.03679175674915314,0.21296900510787964,0.17048703134059906,0.000606883957516402,0.0,0.11643286049365997,0.0,0.0,0.0,0.1638372838497162,0.0,0.0,0.012652037665247917,0.0,0.0,0.0,0.23579491674900055,0.006599470041692257,0.0,0.0438288114964962,5.642187427988207e-14,0.0,0.008413227275013924,0.13977749645709991,0.012845811434090137,0.6009672284126282,0.23799604177474976,1.7099736737691273e-07
5106,4,1,70,5138.64453125,3714.767822265625,88.51337432861328,45.5,"DCIS_1, Myoepi_ACTA2+, DCIS_2",0.003390311263501644,0.0,0.016635628417134285,0.4758603870868683,0.056766364723443985,0.0031405591871589422,0.0,0.0,0.0,0.030019473284482956,0.0,0.0,0.23239102959632874,0.055579572916030884,0.0,0.0,0.10051736980676651,0.0,0.0,0.025699330493807793,0.0025360111612826586,0.5220918655395508,0.19437570869922638,0.02516360953450203,0.22243370115756989,0.018244249746203423,0.012145742774009705,0.003009070409461856
5114,0,7,30,5028.37646484375,3497.20556640625,23.95528793334961,47.5,"Stromal, B_Cells, Macrophages_2",0.09382863342761993,0.03663376346230507,0.0,0.0,0.0,0.035563718527555466,0.0,0.0,0.0,0.10208199173212051,0.0949486568570137,0.0,0.0012966080103069544,0.0,0.0,0.0,0.5582720637321472,0.01436739880591631,0.0,0.0630071833729744,0.0013312763767316937,1.961817850054744e-44,0.001986565301194787,0.25403061509132385,0.002807831158861518,0.13679362833499908,0.09656289219856262,0.5064871907234192
5124,2,4,41,5158.72705078125,3467.611572265625,109.74887084960938,62.0,"Myoepi_ACTA2+, Stromal, CD8+_T_Cells",0.005136317107826471,0.053573671728372574,0.09637226164340973,0.18145309388637543,0.0005481046391651034,0.01914641633629799,0.0,0.005411889404058456,0.012653560377657413,0.08897879719734192,0.0,0.0,0.3264666199684143,0.010258945636451244,0.0,0.0,0.16835583746433258,0.0003707540163304657,0.0031944382935762405,0.028079265728592873,0.04919806867837906,0.019374622032046318,0.007457275874912739,0.0581587515771389,0.5343795418739319,0.2680366039276123,0.0633951723575592,0.0
5138,2,1,50,5042.9580078125,3672.712890625,104.39940643310547,48.5,"Myoepi_ACTA2+, DCIS_1, Stromal",0.0,0.0003561038465704769,0.030332213267683983,0.2130705863237381,0.08763603121042252,0.024651246145367622,0.0021107904613018036,0.0,0.0,0.04220385104417801,0.0,0.0,0.34962549805641174,0.06302887201309204,0.0,0.0,0.16124364733695984,0.010708102956414223,0.0,0.015033065341413021,0.003632166190072894,0.44010838866233826,0.20555871725082397,0.017531944438815117,0.21535128355026245,0.049211353063583374,0.06688640266656876,0.001719792140647769
5170,3,7,46,5569.1123046875,4360.1708984375,74.36006927490234,33.5,"Endothelial, Stromal, Macrophages_2",0.00799497403204441,0.02636408805847168,0.0,0.0,0.0,0.5308119654655457,0.0,0.0,0.0,0.025427769869565964,0.0674973651766777,0.0,0.0,0.0,0.0,0.0,0.2943382263183594,0.0,0.0,0.047565631568431854,0.01390890870243311,0.0,0.0001736112462822348,0.030495721846818924,0.00137573410756886,0.06166540086269379,0.380620539188385,0.5117601752281189
5193,0,2,46,6222.00341796875,671.4274291992188,23.737579345703125,46.0,"Stromal, Macrophages_1, Endothelial",0.008463005535304546,0.00017386078252457082,0.03437666967511177,0.004354061558842659,0.09430952370166779,0.061008479446172714,0.0,0.0,0.0,0.1167411059141159,0.0017413117457181215,0.004975765012204647,0.1902661919593811,0.010715508833527565,0.0016882618656381965,0.0,0.4636121690273285,0.0,0.0,0.007574019022285938,0.02409542351961136,0.035638608038425446,0.5980728268623352,0.03446536883711815,0.07797200977802277,0.08303747326135635,0.13108861446380615,0.01562967523932457
5199,2,2,78,6277.30615234375,637.4318237304688,86.98666381835938,34.0,"Myoepi_ACTA2+, DCIS_2, Stromal",0.0021242329385131598,0.0,0.020485544577240944,0.0,0.18395273387432098,0.04577067866921425,0.0,0.0,0.0,0.05379430577158928,0.0,0.0,0.4643382430076599,0.03631511703133583,0.0,0.0,0.17781339585781097,3.602867218432948e-05,0.0,0.01536979153752327,0.005611322354525328,0.06978506594896317,0.8097054362297058,0.029590429738163948,0.01563858427107334,0.029741019010543823,0.037260398268699646,0.0026678075082600117
5200,5,2,62,6206.8427734375,718.2822875976562,71.40836334228516,24.0,"DCIS_2, Myoepi_ACTA2+, Macrophages_1",0.00024552003014832735,0.0,0.014888294041156769,0.013343525119125843,0.4968458116054535,0.011076061055064201,0.0,0.0,0.0,0.05628787726163864,0.0003809649497270584,0.0038726138882339,0.2914964556694031,0.0,0.00039828510489314795,0.0,0.09847880154848099,0.0,0.0,0.012685739435255527,0.01063091866672039,0.04993157461285591,0.7436100840568542,0.03329505771398544,0.07615632563829422,0.02574845962226391,0.05376698449254036,0.006860851775854826
