method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
CCC only,4,Endothelial,8234,0.042845035512656775,0.05436495691537857,0.0,1.0,0.825483764898325,5
CCC only,4,Stromal_&_T_Cell_Hybrid,8234,0.004922600193847288,0.0036742810625582933,0.0012529227059994014,9.706657593622357e-42,0.7702992837865796,6
CCC only,4,CD8+_T_Cells,8234,0.05938296983371648,0.0427422970533371,0.017383691965280296,2.3591061502184329e-206,0.7676018318792889,7
CCC only,4,Perivascular-Like,8234,0.004633852696968742,0.0053644864819943905,0.0,0.0019034421045826344,0.7343192251851791,8
CCC only,4,B_Cells,8234,0.06962620198862972,0.030480749905109406,0.0403761470222105,0.0,0.7034092402483941,9
CCC only,4,IRF7+_DCs,8234,0.026889910812499532,0.0030429887119680643,0.023919709679726914,0.0,0.6901462665810874,10
CCC only,4,Myoepi_KRT15+,8234,0.003554979591385636,0.017415644600987434,0.0,1.0,0.6508595997060553,11
CCC only,4,Myoepi_ACTA2+,8234,0.009524840312428126,0.04370839148759842,0.0,1.0,0.6469476081329483,12
CCC only,4,Macrophages_2,8234,0.01661599924978331,0.00992500688880682,0.006758066221069559,0.0,0.6372088811503231,13
CCC only,4,T_Cell_&_Tumor_Hybrid,8234,0.002952543673012988,0.0034927502274513245,0.0,0.9999999971897702,0.6320777605107629,14
CCC only,4,CD4+_T_Cells,8234,0.10044403023825293,0.05306157097220421,0.05003752779350734,0.0,0.6099608764790679,15
CCC only,4,LAMP3+_DCs,8234,0.0032352743942550524,0.0018582490738481283,0.0013795889200035455,3.15071475964707e-87,0.569396688627878,16
CCC only,4,Invasive_Tumor,8234,0.04316955023562246,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,4,DCIS_2,8234,0.001523270650997618,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,4,DCIS_1,8234,0.001058548359547336,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,4,Prolif_Invasive_Tumor,8234,0.0013504822486736377,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,5,Unlabeled,15243,0.04645658206763015,0.042838264256715775,0.003780257523930621,1.0,0.9242543621127843,1
CCC only,5,Macrophages_1,15243,0.0375598995802125,0.06661433726549149,0.0,1.0,0.9006320881527183,2
CCC only,5,Stromal,15243,0.03433974606043923,0.23891310393810272,0.0,1.0,0.8810443813660576,3
CCC only,5,Mast_Cells,15243,4.640500164653524e-05,0.0010158149525523186,0.0,1.0,0.8459555719763037,4
CCC only,5,Endothelial,15243,0.008332517730244102,0.05436495691537857,0.0,1.0,0.825483764898325,5
CCC only,5,Stromal_&_T_Cell_Hybrid,15243,0.0004602883791390061,0.0036742810625582933,0.0,1.0,0.7702992837865796,6
CCC only,5,CD8+_T_Cells,15243,0.008144813471595095,0.0427422970533371,0.0,1.0,0.7676018318792889,7
CCC only,5,Perivascular-Like,15243,0.0007413428181238498,0.0053644864819943905,0.0,1.0,0.7343192251851791,8
CCC only,5,B_Cells,15243,0.0015113179927580252,0.030480749905109406,0.0,1.0,0.7034092402483941,9
CCC only,5,IRF7+_DCs,15243,0.00010208851294089183,0.0030429887119680643,0.0,1.0,0.6901462665810874,10
CCC only,5,Myoepi_KRT15+,15243,0.0789636442517742,0.017415644600987434,0.06263889629009921,0.0,0.6508595997060553,11
CCC only,5,Myoepi_ACTA2+,15243,0.04956147862672962,0.04370839148759842,0.006120609070944497,6.228976734732287e-291,0.6469476081329483,12
CCC only,5,Macrophages_2,15243,0.0005876163614774272,0.00992500688880682,0.0,1.0,0.6372088811503231,13
CCC only,5,T_Cell_&_Tumor_Hybrid,15243,0.0009815511242529467,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,5,CD4+_T_Cells,15243,0.001881928711654614,0.05306157097220421,0.0,1.0,0.6099608764790679,15
CCC only,5,LAMP3+_DCs,15243,7.431463372710886e-05,0.0018582490738481283,0.0,1.0,0.569396688627878,16
CCC only,5,Invasive_Tumor,15243,0.040509687850132134,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,5,DCIS_2,15243,0.11341581779192214,0.07043232023715973,0.04624030912595246,0.0,0.37429727836916876,18
CCC only,5,DCIS_1,15243,0.5760588831603941,0.07875767350196838,0.5398158326713866,0.0,0.34657580101251384,19
CCC only,5,Prolif_Invasive_Tumor,15243,0.0002700760112533433,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,6,Unlabeled,21725,0.03610916549097218,0.042838264256715775,0.0,1.0,0.9242543621127843,1
CCC only,6,Macrophages_1,21725,0.04649581148500536,0.06661433726549149,0.0,1.0,0.9006320881527183,2
CCC only,6,Stromal,21725,0.12447352467022645,0.23891310393810272,0.0,1.0,0.8810443813660576,3
CCC only,6,Mast_Cells,21725,0.0007244588224907481,0.0010158149525523186,0.0,0.999999961287356,0.8459555719763037,4
CCC only,6,Endothelial,21725,0.026933275996186928,0.05436495691537857,0.0,1.0,0.825483764898325,5
CCC only,6,Stromal_&_T_Cell_Hybrid,21725,0.0015295609710770381,0.0036742810625582933,0.0,1.0,0.7702992837865796,6
CCC only,6,CD8+_T_Cells,21725,0.02222045127477902,0.0427422970533371,0.0,1.0,0.7676018318792889,7
CCC only,6,Perivascular-Like,21725,0.0016417311146549648,0.0053644864819943905,0.0,1.0,0.7343192251851791,8
CCC only,6,B_Cells,21725,0.004273557170143247,0.030480749905109406,0.0,1.0,0.7034092402483941,9
CCC only,6,IRF7+_DCs,21725,0.0004603143992922009,0.0030429887119680643,0.0,1.0,0.6901462665810874,10
CCC only,6,Myoepi_KRT15+,21725,0.03752017047684383,0.017415644600987434,0.020460864990651025,0.0,0.6508595997060553,11
CCC only,6,Myoepi_ACTA2+,21725,0.18923352028570636,0.04370839148759842,0.15217651851058495,0.0,0.6469476081329483,12
CCC only,6,Macrophages_2,21725,0.0010237492884158815,0.00992500688880682,0.0,1.0,0.6372088811503231,13
CCC only,6,T_Cell_&_Tumor_Hybrid,21725,0.0011610473555665982,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,6,CD4+_T_Cells,21725,0.010372919318732804,0.05306157097220421,0.0,1.0,0.6099608764790679,15
CCC only,6,LAMP3+_DCs,21725,0.00023634340033209503,0.0018582490738481283,0.0,1.0,0.569396688627878,16
CCC only,6,Invasive_Tumor,21725,0.07098161028894746,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,6,DCIS_2,21725,0.41733726939188864,0.07043232023715973,0.3731895494497795,0.0,0.37429727836916876,18
CCC only,6,DCIS_1,21725,0.005903903935711217,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,6,Prolif_Invasive_Tumor,21725,0.0013676149216539498,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,7,Unlabeled,30130,0.05642820457458365,0.042838264256715775,0.014198165230656094,0.0,0.9242543621127843,1
CCC only,7,Macrophages_1,30130,0.12241631018002865,0.06661433726549149,0.05978447569638787,0.0,0.9006320881527183,2
CCC only,7,Stromal,30130,0.298148792671369,0.23891310393810272,0.07783038993252091,0.0,0.8810443813660576,3
CCC only,7,Mast_Cells,30130,0.001402037221702216,0.0010158149525523186,0.000386615008898653,1.4674124606738193e-39,0.8459555719763037,4
CCC only,7,Endothelial,30130,0.04945149550438903,0.05436495691537857,0.0,0.9989211506292878,0.825483764898325,5
CCC only,7,Stromal_&_T_Cell_Hybrid,30130,0.009794371568035103,0.0036742810625582933,0.006142660290053707,0.0,0.7702992837865796,6
CCC only,7,CD8+_T_Cells,30130,0.11976321094488133,0.0427422970533371,0.08045995853927597,0.0,0.7676018318792889,7
CCC only,7,Perivascular-Like,30130,0.006055557571846333,0.0053644864819943905,0.0006947983198994827,2.9350357873149943e-162,0.7343192251851791,8
CCC only,7,B_Cells,30130,0.08105475444795872,0.030480749905109406,0.05216400205488167,0.0,0.7034092402483941,9
CCC only,7,IRF7+_DCs,30130,0.004587042416098376,0.0030429887119680643,0.0015487665945736824,1.1885990193135176e-152,0.6901462665810874,10
CCC only,7,Myoepi_KRT15+,30130,0.006660722170097054,0.017415644600987434,0.0,1.0,0.6508595997060553,11
CCC only,7,Myoepi_ACTA2+,30130,0.013168240473998784,0.04370839148759842,0.0,1.0,0.6469476081329483,12
CCC only,7,Macrophages_2,30130,0.0072077569607620386,0.00992500688880682,0.0,1.0,0.6372088811503231,13
CCC only,7,T_Cell_&_Tumor_Hybrid,30130,0.0019621316122224925,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,7,CD4+_T_Cells,30130,0.1804847855651694,0.05306157097220421,0.13456335404486156,0.0,0.6099608764790679,15
CCC only,7,LAMP3+_DCs,30130,0.006736308604823786,0.0018582490738481283,0.0048871409844976664,0.0,0.569396688627878,16
CCC only,7,Invasive_Tumor,30130,0.02993783820751104,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,7,DCIS_2,30130,0.0030057187786447143,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,7,DCIS_1,30130,0.0004513935300667236,0.07875767350196838,0.0,1.0,0.34657580101251384,19
CCC only,7,Prolif_Invasive_Tumor,30130,0.0012833270688970648,0.022822272032499313,0.0,1.0,0.21610865964010662,20
CCC only,8,Unlabeled,10322,0.025136024086203544,0.042838264256715775,0.0,1.0,0.9242543621127843,1
CCC only,8,Macrophages_1,10322,0.05443758639782402,0.06661433726549149,0.0,1.0,0.9006320881527183,2
CCC only,8,Stromal,10322,0.20226226693693694,0.23891310393810272,0.0,0.9999999999850333,0.8810443813660576,3
CCC only,8,Mast_Cells,10322,0.0005758809285976149,0.0010158149525523186,0.0,0.9999999999995065,0.8459555719763037,4
CCC only,8,Endothelial,10322,0.05138340893832753,0.05436495691537857,0.0,1.3709983949204738e-64,0.825483764898325,5
CCC only,8,Stromal_&_T_Cell_Hybrid,10322,0.0032604081804370206,0.0036742810625582933,0.0,0.9999999999941158,0.7702992837865796,6
CCC only,8,CD8+_T_Cells,10322,0.028013698583844983,0.0427422970533371,0.0,1.0,0.7676018318792889,7
CCC only,8,Perivascular-Like,10322,0.003162146211063635,0.0053644864819943905,0.0,0.9999999999999997,0.7343192251851791,8
CCC only,8,B_Cells,10322,0.011278041151952778,0.030480749905109406,0.0,1.0,0.7034092402483941,9
CCC only,8,IRF7+_DCs,10322,0.0004109626731121069,0.0030429887119680643,0.0,1.0,0.6901462665810874,10
CCC only,8,Myoepi_KRT15+,10322,0.05864755024517601,0.017415644600987434,0.04196271326677421,0.0,0.6508595997060553,11
CCC only,8,Myoepi_ACTA2+,10322,0.13191868021099837,0.04370839148759842,0.09224203919697917,0.0,0.6469476081329483,12
CCC only,8,Macrophages_2,10322,0.0041052123183569775,0.00992500688880682,0.0,1.0,0.6372088811503231,13
CCC only,8,T_Cell_&_Tumor_Hybrid,10322,0.0008156848048209867,0.0034927502274513245,0.0,1.0,0.6320777605107629,14
CCC only,8,CD4+_T_Cells,10322,0.00701981172953925,0.05306157097220421,0.0,1.0,0.6099608764790679,15
CCC only,8,LAMP3+_DCs,10322,0.0006083214829521205,0.0018582490738481283,0.0,1.0,0.569396688627878,16
CCC only,8,Invasive_Tumor,10322,0.008156685405242935,0.20947420597076416,0.0,1.0,0.41434905535073846,17
CCC only,8,DCIS_2,10322,0.010738028749748866,0.07043232023715973,0.0,1.0,0.37429727836916876,18
CCC only,8,DCIS_1,10322,0.3977658261819721,0.07875767350196838,0.34628037942275963,0.0,0.34657580101251384,19
CCC only,8,Prolif_Invasive_Tumor,10322,0.00030377556103761865,0.022822272032499313,0.0,1.0,0.21610865964010662,20
