grid_id,x,y,n_cells,C_state,I_state,C_margin,I_margin
162,3000.0,200.0,116,0,6,0.17134824,0.9572485
163,3100.0,200.0,47,6,6,0.9749199,0.7386105
164,3200.0,200.0,33,7,7,0.009692848,0.8708374
165,3300.0,200.0,35,0,7,0.007768661,0.9303502
166,3400.0,200.0,30,6,7,0.7766115,0.9112006
167,3800.0,200.0,55,7,6,0.26843596,0.46761426
168,3900.0,200.0,75,6,7,0.77623916,0.4074844
169,4000.0,200.0,179,6,6,0.73476136,0.0046123564
170,4100.0,200.0,387,6,3,0.549097,0.621597
171,4200.0,200.0,608,6,7,0.50569797,0.955038
172,4300.0,200.0,752,6,6,0.7154657,0.76315665
173,4400.0,200.0,759,6,3,0.68890744,0.7549962
174,4500.0,200.0,802,6,1,0.67428875,0.8067112
175,4600.0,200.0,809,6,3,0.7113052,0.17966232
176,4700.0,200.0,827,6,1,0.62265074,0.16060293
177,4800.0,200.0,820,6,1,0.42417744,0.3032569
178,4900.0,200.0,759,6,5,0.20222896,0.049856946
179,5000.0,200.0,743,6,1,0.3442502,0.002709344
180,5100.0,200.0,777,6,0,0.15495911,0.1414116
181,5200.0,200.0,810,5,1,0.5096512,0.06493941
182,5300.0,200.0,831,5,3,0.9000892,0.14598429
183,5400.0,200.0,884,5,1,0.9276997,0.2501691
184,5500.0,200.0,1002,0,1,0.13405961,0.26902944
185,5600.0,200.0,1175,6,2,0.8234528,0.010277063
186,5700.0,200.0,1292,6,6,0.7637265,0.25380382
187,5800.0,200.0,1213,6,4,0.8656069,0.12604055
188,5900.0,200.0,942,6,4,0.00573045,0.24523926
189,6000.0,200.0,571,6,7,0.140338,0.055720568
190,6100.0,200.0,246,0,7,0.63678086,0.16076687
191,6200.0,200.0,99,7,0,0.10696983,0.2045488
192,6300.0,200.0,74,0,7,0.9626389,0.76380706
193,6400.0,200.0,83,0,7,0.9999956,0.98238766
194,6500.0,200.0,98,0,7,0.984824,0.26229918
195,6600.0,200.0,96,0,7,0.11516839,0.1468488
196,6700.0,200.0,105,0,0,0.19580024,0.2030853
197,6800.0,200.0,127,0,0,0.6491235,0.08930865
198,6900.0,200.0,110,0,7,0.97934884,0.9341139
199,7000.0,200.0,150,0,7,0.99999535,1.0
200,7100.0,200.0,172,0,7,0.9998978,0.3206376
201,7200.0,200.0,182,0,2,0.20009214,0.3581444
202,7300.0,200.0,195,0,5,0.19060555,0.22366238
203,7400.0,200.0,148,0,7,0.27918544,0.10674542
204,7500.0,200.0,91,0,2,0.26292756,0.34705484
205,7600.0,200.0,53,0,7,0.99999535,0.92887205
206,0.0,300.0,566,1,5,0.72551787,0.26300007
207,100.0,300.0,874,1,2,0.7935233,0.21063194
208,200.0,300.0,1090,1,2,0.75039864,0.04670462
209,300.0,300.0,1014,1,5,0.95656925,0.43674964
210,400.0,300.0,898,1,5,0.16448638,0.5178106
211,500.0,300.0,886,0,5,0.06775296,0.11030966
212,600.0,300.0,1023,5,1,0.44321713,0.115383714
213,700.0,300.0,1235,5,1,0.5523696,0.56841356
214,800.0,300.0,1336,5,1,0.8011609,0.5604882
215,900.0,300.0,1339,5,1,0.82327646,0.99840224
216,1000.0,300.0,1104,5,5,0.26979995,0.14270625
217,1100.0,300.0,898,5,1,0.6467004,0.0026557446
218,1200.0,300.0,795,6,5,0.03919831,0.03269568
219,1300.0,300.0,757,0,0,0.10562262,0.13353246
220,1400.0,300.0,631,1,4,0.29338884,0.0450294
