ccc_id	program	loading	feature_index	sender	receiver	lr_id	pair_key	ligand	receptor	pathway	route_module	route	coverage	standard_deviation	filtered_column	full_coefficient	positive_selection_probability	negative_selection_probability	selection_probability	sign_selection_probability	mean_coefficient	mean_absolute_coefficient	direction	stability_importance	loading_rank
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P1	0.00021543218245703708	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	11
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P1	0.00021315659390194487	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	12
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P1	0.00012890676585291234	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	13
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P1	0.0	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	14
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P1	0.0	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	15
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P1	0.0	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	16
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P1	0.0	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	17
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P1	0.0	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	18
Endothelial->Endothelial|JAM2--JAM3|JAM	P1	0.0	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	19
Endothelial->Endothelial|JAM3--JAM2|JAM	P1	0.0	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	20
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P1	0.0	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	21
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P1	0.0	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	22
Endothelial->Endothelial|RETN--CAP1|RESISTIN	P1	0.0	38152	Endothelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0068143174253279	19987	-0.05515586	0.0	0.74	0.74	0.74	-0.024520349	0.024520349	protective	0.018145058080554	23
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P2	0.40685168323313864	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	1
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P2	0.2521371402365241	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	2
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P2	0.24776683219806583	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	3
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P2	0.0929689180798333	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	4
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P2	0.00016067786596026573	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	5
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P2	6.12040181604882e-05	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	6
Endothelial->Endothelial|RETN--CAP1|RESISTIN	P2	5.354436831735151e-05	38152	Endothelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0068143174253279	19987	-0.05515586	0.0	0.74	0.74	0.74	-0.024520349	0.024520349	protective	0.018145058080554	7
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P2	0.0	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	8
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P2	0.0	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	9
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P2	0.0	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	10
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P2	0.0	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	11
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P2	0.0	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	12
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P2	0.0	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	13
Endothelial->Endothelial|JAM2--JAM3|JAM	P2	0.0	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	14
Endothelial->Endothelial|JAM3--JAM2|JAM	P2	0.0	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	15
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P2	0.0	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	16
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P2	0.0	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	17
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P2	0.0	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	18
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P2	0.0	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	19
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P2	0.0	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	20
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P2	0.0	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	21
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P2	0.0	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	22
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P2	0.0	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	23
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P3	0.3843407125253496	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	1
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P3	0.2501500875982786	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	2
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P3	0.24503502001080507	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	3
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P3	0.11334583950517485	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	4
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P3	0.0022271179557139687	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	5
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P3	0.0013214643276259546	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	6
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P3	0.001291562998906667	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	7
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P3	0.000520689214205254	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	8
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P3	0.00039266090545200436	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	9
Endothelial->Endothelial|JAM3--JAM2|JAM	P3	0.0003902602206275954	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	10
Endothelial->Endothelial|JAM2--JAM3|JAM	P3	0.00038886547604675286	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	11
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P3	0.00029787379566470815	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	12
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P3	0.0002978454661487997	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	13
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P3	0.0	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	14
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P3	0.0	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	15
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P3	0.0	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	16
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P3	0.0	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	17
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P3	0.0	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	18
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P3	0.0	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	19
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P3	0.0	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	20
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P3	0.0	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	21
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P3	0.0	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	22
