cell_id,x,y,cell_type,C_state,I_state,joint_id
142,851.3025,229.54784,Myoepi_ACTA2+,5,2,43
143,819.88153,233.15956,Macrophages_1,5,2,43
144,847.3764,241.42815,DCIS_2,5,2,43
145,834.3707,245.02725,DCIS_2,5,2,43
146,821.4808,248.66957,DCIS_2,5,2,43
147,835.39197,254.24167,DCIS_2,5,2,43
148,828.0986,261.5143,DCIS_2,5,2,43
149,843.66394,263.13788,DCIS_2,5,2,43
150,838.18365,268.62265,Invasive_Tumor,5,2,43
151,820.7819,275.5782,DCIS_2,5,2,43
152,829.12946,281.31784,DCIS_2,5,2,43
153,836.78723,283.62354,DCIS_2,5,2,43
154,845.6952,283.9007,DCIS_2,5,2,43
155,821.27216,289.41837,DCIS_2,5,2,43
156,848.7661,296.44867,Invasive_Tumor,5,2,43
157,829.3021,295.7112,DCIS_2,5,2,43
158,839.50195,300.51193,DCIS_2,5,2,43
159,828.4255,307.86362,DCIS_2,5,2,43
160,830.70526,88.11752,DCIS_2,1,2,11
161,594.47894,872.88837,DCIS_2,5,2,43
162,525.8591,863.8919,DCIS_2,5,2,43
163,486.67896,856.34546,Myoepi_ACTA2+,5,2,43
164,536.3243,846.47784,Macrophages_1,5,2,43
165,503.44626,863.34814,DCIS_2,5,2,43
166,461.33865,843.51984,Endothelial,0,6,7
167,504.42987,853.5291,DCIS_2,5,2,43
168,532.55646,855.7673,Macrophages_1,5,2,43
169,467.38638,857.8399,Stromal,3,2,27
170,526.5428,845.07477,DCIS_2,5,2,43
171,744.2483,868.18536,Invasive_Tumor,5,2,43
172,459.4638,870.59973,Endothelial,0,6,7
173,486.498,840.51117,Myoepi_ACTA2+,2,2,19
174,498.12885,846.91003,DCIS_2,5,2,43
175,474.9622,847.76245,Endothelial,2,2,19
176,541.9669,840.9102,DCIS_2,5,2,43
177,484.7951,869.2134,Myoepi_ACTA2+,5,2,43
178,582.5808,853.4977,DCIS_2,5,2,43
179,545.7977,846.3941,Unlabeled,7,2,59
180,771.792,858.40295,DCIS_2,5,0,41
181,553.6917,847.92444,Unlabeled,7,2,59
182,704.6799,847.8815,DCIS_2,5,2,43
183,560.4285,848.7661,Macrophages_1,7,2,59
184,610.07654,864.03174,DCIS_2,5,2,43
185,766.3624,843.2594,Invasive_Tumor,5,0,41
186,614.2624,857.56555,DCIS_2,5,2,43
187,554.23303,838.57056,Macrophages_1,5,2,43
188,575.68304,845.4161,Macrophages_1,5,2,43
189,556.53076,863.3582,Invasive_Tumor,7,2,59
190,548.675,850.0614,Unlabeled,7,2,59
191,563.43896,842.8231,Macrophages_1,7,2,59
192,545.9118,856.5197,Macrophages_1,7,2,59
193,579.9167,867.18085,DCIS_2,5,2,43
194,551.9477,844.5231,Unlabeled,7,2,59
195,602.99304,866.01385,DCIS_2,5,2,43
196,554.45605,853.6917,Invasive_Tumor,7,2,59
197,771.62415,869.52026,DCIS_2,5,0,41
198,568.7659,870.81335,DCIS_2,5,2,43
199,597.6865,853.5408,DCIS_2,5,2,43
200,558.5075,870.12366,DCIS_1,5,2,43
201,603.30005,842.15027,DCIS_2,5,2,43
202,590.8942,862.7485,DCIS_2,5,2,43
203,567.4651,856.9259,Invasive_Tumor,7,2,59
204,617.3066,843.79395,DCIS_2,5,2,43
205,623.9436,848.3076,DCIS_2,5,2,43
206,714.4556,846.29767,DCIS_2,5,2,43
207,623.1504,864.73975,DCIS_2,5,2,43
208,631.68994,843.5676,DCIS_2,5,2,43
209,630.0645,855.22974,DCIS_2,5,2,43
210,631.8773,869.47107,DCIS_2,5,2,43
211,637.9048,863.22644,Invasive_Tumor,5,2,43
212,641.0042,855.321,DCIS_2,5,2,43
213,645.33093,869.69965,DCIS_2,5,2,43
214,648.7152,839.76764,Invasive_Tumor,5,2,43
215,645.95416,848.3793,DCIS_2,5,2,43
216,655.9125,849.0971,DCIS_2,5,2,43
217,650.06964,855.7101,DCIS_2,5,2,43
218,654.9171,862.5552,DCIS_2,5,2,43
219,662.91815,869.13,DCIS_2,5,2,43
220,660.09216,844.8973,DCIS_2,5,2,43
221,664.1075,860.8109,DCIS_2,5,2,43
222,666.9451,851.196,Invasive_Tumor,5,2,43
223,757.0438,849.5707,DCIS_2,5,0,41
224,677.3346,861.1739,DCIS_2,5,2,43
225,678.19214,838.8806,DCIS_2,5,2,43
226,671.6384,844.6346,DCIS_2,5,2,43
227,694.46814,841.1872,Invasive_Tumor,5,2,43
228,695.8401,862.0886,DCIS_2,5,2,43
229,693.60474,854.7284,DCIS_2,5,1,42
230,698.2127,870.4276,DCIS_2,5,2,43
231,684.7626,849.8434,DCIS_2,5,2,43
232,708.7582,859.0449,DCIS_2,5,1,42
233,696.5692,846.4481,DCIS_2,5,2,43
234,724.5967,852.40283,DCIS_2,5,2,43
235,715.5568,871.0342,DCIS_2,5,1,42
236,726.8504,869.1231,Invasive_Tumor,5,1,42
237,739.4089,850.13794,DCIS_2,5,2,43
238,713.5771,866.24243,DCIS_2,5,1,42
239,733.6183,838.0593,DCIS_2,5,0,41
240,806.56805,850.4457,DCIS_2,5,0,41
241,799.45416,863.6449,DCIS_2,5,0,41
242,769.151,850.97284,DCIS_2,5,0,41
243,752.6821,840.9407,Invasive_Tumor,5,0,41
244,786.8502,859.6675,DCIS_2,5,0,41
245,747.23224,857.4861,DCIS_2,5,2,43
246,813.5158,865.2686,DCIS_2,5,0,41
247,782.2942,850.5077,DCIS_2,5,0,41
248,757.32715,863.88586,DCIS_2,5,2,43
249,542.6924,867.14044,Unlabeled,5,2,43
250,11.371722,462.9312,Endothelial,1,0,9
251,22.835165,464.65002,Endothelial,1,0,9
252,32.263992,466.47025,Endothelial,1,6,15
253,9.085885,476.44244,Invasive_Tumor,1,0,9
254,20.237268,479.89017,Invasive_Tumor,1,0,9
255,27.017288,484.72412,Invasive_Tumor,1,0,9
256,17.635231,496.11887,Invasive_Tumor,1,0,9
257,6.3204746,494.68774,Invasive_Tumor,1,0,9
258,22.770115,508.9168,Invasive_Tumor,1,0,9
259,8.9534,520.486,Invasive_Tumor,1,0,9
260,25.597563,523.57916,Prolif_Invasive_Tumor,1,0,9
261,23.01268,533.62256,Invasive_Tumor,1,0,9
262,7.3990254,535.35187,Invasive_Tumor,1,0,9
263,9.695879,543.33954,Invasive_Tumor,1,0,9
264,20.436878,544.3298,Invasive_Tumor,1,0,9
265,24.47329,549.6468,Invasive_Tumor,1,0,9
266,31.705013,552.1707,Invasive_Tumor,1,0,9
267,6.247968,557.7256,Invasive_Tumor,1,6,15
268,18.177652,560.6526,Invasive_Tumor,1,6,15
269,30.677868,562.3526,Prolif_Invasive_Tumor,1,0,9
270,19.413326,572.96796,Stromal,1,0,9
271,7.2679486,576.9504,Stromal,1,0,9
272,26.862003,580.8794,Invasive_Tumor,1,0,9
273,13.747616,592.97723,Endothelial,1,6,15
274,28.085146,609.1233,Invasive_Tumor,1,6,15
275,17.73013,615.766,Invasive_Tumor,1,6,15
276,7.3031206,623.90436,Invasive_Tumor,1,0,9
277,24.907263,630.2758,Invasive_Tumor,1,0,9
278,11.216694,638.0269,Invasive_Tumor,1,0,9
279,27.929678,638.6125,Invasive_Tumor,1,0,9
280,14.965091,646.25104,Invasive_Tumor,1,0,9
281,24.458662,653.50226,Stromal,1,0,9
282,8.827825,656.9488,Macrophages_1,1,0,9
283,8.903698,670.45526,Endothelial,1,0,9
284,27.449883,680.00464,Invasive_Tumor,1,0,9
285,6.1789494,685.66486,Macrophages_1,1,0,9
286,19.43872,683.8898,Invasive_Tumor,1,0,9
287,25.030817,697.3298,Prolif_Invasive_Tumor,1,0,9
288,7.910784,702.2321,Invasive_Tumor,1,0,9
289,23.487778,707.41345,Invasive_Tumor,1,0,9
290,12.584388,714.10846,Invasive_Tumor,1,0,9
291,6.336373,724.2504,Invasive_Tumor,1,0,9
292,17.827581,731.7187,Invasive_Tumor,1,0,9
293,29.464045,739.0128,Invasive_Tumor,1,0,9
294,36.083565,744.5122,Invasive_Tumor,1,6,15
295,27.879004,753.31274,Invasive_Tumor,1,6,15
296,22.155285,754.1761,Invasive_Tumor,1,6,15
297,12.324781,749.72064,Endothelial,1,0,9
298,4.8583856,755.6047,Invasive_Tumor,1,0,9
299,27.468628,763.7848,Invasive_Tumor,1,6,15
300,8.837443,769.01904,Stromal,1,5,14
301,26.36194,780.67303,Endothelial,1,5,14
302,15.929797,782.9667,Endothelial,1,5,14
303,77.28711,872.18353,Stromal,0,6,7
304,241.05031,864.4132,Invasive_Tumor,1,0,9
305,12.721359,838.7049,Stromal,6,6,55
306,277.56897,856.3537,Macrophages_1,1,5,14
307,171.93335,846.7171,T_Cell_&_Tumor_Hybrid,1,3,12
308,259.30814,851.7977,Invasive_Tumor,1,0,9
309,148.06429,843.24066,Macrophages_1,1,3,12
310,188.96527,843.02856,Invasive_Tumor,1,0,9
311,207.11984,874.98016,Invasive_Tumor,1,5,14
312,235.52362,860.30115,CD8+_T_Cells,1,0,9
313,439.7481,866.96063,Stromal,0,6,7
314,163.96967,849.11865,Macrophages_1,1,3,12
315,182.10051,852.95276,Invasive_Tumor,1,0,9
316,253.26028,869.5656,Invasive_Tumor,1,5,14
317,87.81456,858.0169,Stromal,0,6,7
318,258.9967,841.51843,Invasive_Tumor,1,0,9
319,23.21221,866.88043,Mast_Cells,6,5,54
320,41.315548,847.3451,CD8+_T_Cells,6,6,55
321,205.28848,860.1485,Invasive_Tumor,1,0,9
322,249.13373,851.5041,Invasive_Tumor,1,0,9
323,230.67575,847.6512,Macrophages_1,1,0,9
324,18.599714,853.64545,Macrophages_1,6,6,55
325,6.9379234,861.8287,Macrophages_1,6,5,54
326,226.18687,855.7895,Macrophages_1,1,0,9
327,60.571644,853.8829,Endothelial,1,6,15
328,39.68614,861.2165,CD4+_T_Cells,6,6,55
329,408.16116,846.15283,Endothelial,0,5,6
330,240.95949,848.4798,CD8+_T_Cells,1,0,9
331,411.92334,856.10345,Macrophages_1,0,5,6
332,199.34927,847.91284,Stromal,1,0,9
333,255.08965,861.56976,Invasive_Tumor,1,0,9
334,404.64105,861.0921,Stromal,0,5,6
335,132.4594,864.6991,Stromal,0,5,6
336,175.79317,866.29425,Stromal,1,3,12
337,26.63148,857.19495,CD4+_T_Cells,6,6,55
338,164.66222,861.01184,Stromal,1,3,12
339,244.58003,841.8831,Invasive_Tumor,1,0,9
340,345.42892,845.975,CD8+_T_Cells,6,5,54
341,54.81191,862.6954,Endothelial,6,6,55
342,183.79144,872.5786,Macrophages_1,1,3,12
343,222.46487,867.0618,Invasive_Tumor,1,0,9
344,268.89792,862.6589,Invasive_Tumor,1,5,14
345,277.1903,844.59827,Macrophages_1,1,0,9
346,426.80124,859.8781,Stromal,0,5,6
347,297.85754,868.19196,Invasive_Tumor,6,5,54
348,294.26974,845.8612,CD8+_T_Cells,6,5,54
349,296.2634,856.7569,Invasive_Tumor,6,5,54
350,305.55322,841.8298,Macrophages_1,6,5,54
351,308.284,868.56866,Unlabeled,6,5,54
352,308.50244,850.43097,Stromal,6,5,54
353,311.1476,860.5404,Stromal,6,5,54
354,316.79602,856.1088,CD4+_T_Cells,6,5,54
355,316.918,847.2104,B_Cells,6,5,54
356,320.34988,863.1888,CD4+_T_Cells,6,5,54
357,319.84213,869.2013,CD4+_T_Cells,6,5,54
358,322.96725,841.8644,CD4+_T_Cells,6,5,54
359,323.7403,854.9135,B_Cells,6,5,54
360,327.2854,847.5687,Macrophages_1,6,5,54
361,328.45206,867.54114,CD4+_T_Cells,6,5,54
362,331.16608,857.6467,CD4+_T_Cells,6,5,54
363,332.89822,850.1853,CD4+_T_Cells,6,5,54
364,337.00128,845.35535,Macrophages_1,6,5,54
365,336.86157,865.18854,Endothelial,6,5,54
366,345.9313,856.8962,Macrophages_1,6,5,54
367,345.51044,866.3572,Macrophages_1,6,5,54
368,417.1473,843.5977,Unlabeled,0,5,6
369,338.91614,853.7971,CD4+_T_Cells,6,5,54
370,353.93872,870.4481,CD4+_T_Cells,3,5,30
371,355.1417,863.4355,CD4+_T_Cells,6,5,54
372,355.8487,848.7824,B_Cells,6,5,54
373,362.69714,849.7605,B_Cells,6,5,54
374,418.181,861.746,Macrophages_1,0,5,6
375,361.9674,857.77203,CD8+_T_Cells,6,5,54
376,418.13525,850.06525,Stromal,0,5,6
377,368.91196,846.4578,Stromal,6,5,54
378,370.58075,865.19196,CD4+_T_Cells,6,5,54
379,383.00418,867.68365,CD8+_T_Cells,6,5,54
380,382.01703,851.05835,CD4+_T_Cells,6,5,54
381,377.6656,843.542,Macrophages_1,6,5,54
382,382.07864,858.9448,CD8+_T_Cells,6,5,54
383,390.2902,862.137,CD8+_T_Cells,6,5,54
384,391.85974,848.5009,CD4+_T_Cells,6,5,54
385,401.70206,849.83136,Stromal,0,5,6
386,398.2055,870.33655,B_Cells,6,5,54
387,70.49949,844.36395,Stromal,1,6,15
388,840.65137,507.50177,Macrophages_1,7,0,57
389,832.4019,517.75397,Macrophages_1,6,2,51
390,841.97485,520.13306,Macrophages_1,6,0,49
391,849.60486,527.1592,Macrophages_1,6,0,49
392,822.56195,535.4686,Macrophages_1,6,0,49
393,843.8168,538.2775,Macrophages_1,6,2,51
394,846.83307,548.817,Macrophages_1,6,1,50
395,833.7649,545.5306,Macrophages_1,6,1,50
396,836.1945,556.9725,Macrophages_1,5,1,42
397,824.803,551.18896,Macrophages_1,5,1,42
398,825.3723,562.2008,DCIS_2,5,1,42
399,845.0829,557.0542,Macrophages_1,5,1,42
400,837.4185,566.52783,DCIS_2,5,2,43
401,824.444,569.0865,Unlabeled,5,1,42
402,829.88696,560.461,Invasive_Tumor,5,1,42
403,851.3473,785.40247,Myoepi_ACTA2+,2,2,19
404,831.16785,575.3523,Invasive_Tumor,5,2,43
405,836.3901,578.4301,Invasive_Tumor,5,2,43
406,852.3375,577.4983,DCIS_2,5,2,43
407,842.6514,577.1269,DCIS_2,5,2,43
408,844.0415,584.3816,DCIS_2,5,2,43
409,825.0421,585.97345,DCIS_2,5,2,43
410,835.61316,585.279,DCIS_2,5,2,43
411,850.2209,588.01953,DCIS_2,5,2,43
412,841.9016,591.5225,DCIS_2,5,2,43
413,831.84784,593.29736,DCIS_2,5,2,43
414,836.6424,598.42487,DCIS_2,5,2,43
415,851.8741,599.5798,DCIS_2,5,2,43
416,824.97394,600.7682,DCIS_2,5,2,43
417,838.8603,606.6676,DCIS_2,5,2,43
418,822.85,621.7981,Macrophages_1,5,2,43
419,836.344,614.27905,DCIS_2,5,2,43
420,839.44995,619.9115,DCIS_2,5,2,43
421,847.8222,628.66016,DCIS_2,5,2,43
422,832.0189,631.2384,DCIS_2,5,2,43
423,823.3794,642.53955,DCIS_2,5,2,43
424,829.69415,645.2355,DCIS_2,5,2,43
425,836.4547,657.8738,DCIS_2,5,2,43
426,845.0866,644.9372,DCIS_2,5,2,43
427,852.9549,657.4165,DCIS_2,5,2,43
428,827.28577,670.89386,DCIS_2,5,2,43
429,846.6703,680.02155,DCIS_2,5,2,43
430,818.3362,689.1276,Macrophages_1,5,2,43
431,831.7089,840.5203,Invasive_Tumor,5,0,41
432,844.70514,693.3229,Invasive_Tumor,5,2,43
433,835.42755,699.2326,T_Cell_&_Tumor_Hybrid,5,2,43
434,813.81976,699.6994,DCIS_2,5,2,43
435,827.0724,703.066,DCIS_2,5,2,43
436,839.3341,705.05743,DCIS_2,5,2,43
437,846.47235,711.5656,DCIS_2,5,2,43
438,832.4922,683.1274,Macrophages_1,5,2,43
439,849.81195,510.00467,Unlabeled,7,0,57
440,822.83,507.4701,Macrophages_1,6,2,51
441,840.6684,491.04382,Macrophages_1,7,2,59
442,847.7481,492.45563,Unlabeled,7,2,59
443,847.5106,566.41833,DCIS_2,5,2,43
444,832.29443,495.88364,Macrophages_1,7,2,59
445,842.17883,496.49057,Unlabeled,7,2,59
446,844.9554,741.03595,DCIS_2,5,2,43
447,846.4696,752.3985,DCIS_2,2,2,19
448,846.3506,726.30286,DCIS_2,5,2,43
449,831.0764,757.1083,Myoepi_ACTA2+,2,2,19
450,826.4116,728.69324,DCIS_2,5,2,43
451,832.4034,736.2525,DCIS_2,5,2,43
452,828.3191,747.49384,DCIS_2,2,2,19
453,831.0567,715.27704,DCIS_2,5,2,43
454,838.4706,812.1771,Stromal,2,2,19
455,818.08734,788.3536,Myoepi_ACTA2+,2,2,19
456,829.0179,801.2062,Endothelial,2,2,19
457,844.27814,770.7652,Endothelial,2,2,19
458,839.3052,821.3638,Stromal,2,2,19
459,830.9848,773.92206,Myoepi_ACTA2+,2,2,19
460,820.2069,801.95905,Endothelial,2,2,19
461,825.15393,825.5208,DCIS_2,5,0,41
462,839.45245,861.2664,Invasive_Tumor,5,0,41
463,840.6645,760.52954,Myoepi_ACTA2+,2,2,19
464,848.1606,804.6649,Myoepi_ACTA2+,2,2,19
465,849.2378,819.6,Myoepi_ACTA2+,2,2,19
466,836.6418,829.3845,DCIS_2,5,0,41
467,822.05225,778.6375,Myoepi_ACTA2+,2,2,19
468,836.68396,799.2223,Stromal,2,2,19
469,829.0219,765.2092,Endothelial,2,2,19
470,818.83203,814.334,Myoepi_ACTA2+,2,2,19
471,845.24164,831.6195,Myoepi_ACTA2+,5,0,41
472,851.346,857.3239,DCIS_2,5,0,41
473,829.31177,860.5327,Prolif_Invasive_Tumor,5,0,41
474,819.90533,851.3085,Macrophages_1,5,0,41
475,844.9038,843.72394,DCIS_2,5,0,41
476,850.76965,488.2444,Invasive_Tumor,7,2,59
477,839.1958,784.59015,Myoepi_ACTA2+,2,2,19
478,850.06415,499.2132,DCIS_2,7,2,59
479,849.4046,871.20624,DCIS_2,5,2,43
480,10.281683,68.36318,Invasive_Tumor,1,2,11
481,27.792831,67.49071,DCIS_2,1,2,11
482,16.30907,80.32578,Invasive_Tumor,1,2,11
483,26.725988,89.056435,Invasive_Tumor,1,6,15
484,7.185586,85.275635,Invasive_Tumor,1,2,11
485,11.17213,95.569466,Invasive_Tumor,1,6,15
486,9.498178,106.97644,DCIS_2,1,6,15
487,23.269356,114.834305,Invasive_Tumor,1,6,15
488,8.85953,127.07758,Invasive_Tumor,1,6,15
489,16.432013,144.94014,Invasive_Tumor,1,6,15
490,12.414124,159.16774,Macrophages_1,1,6,15
491,23.470642,166.72218,Invasive_Tumor,1,6,15
492,8.340569,174.25783,Macrophages_1,1,6,15
493,13.709551,186.09688,Invasive_Tumor,1,6,15
494,20.790451,194.89362,Invasive_Tumor,1,6,15
495,7.4328456,197.07797,Invasive_Tumor,1,6,15
496,25.470926,197.62971,Stromal,1,6,15
497,22.346764,206.92581,Invasive_Tumor,1,6,15
498,12.626398,344.36,Invasive_Tumor,1,0,9
499,17.531818,347.21646,Invasive_Tumor,1,0,9
500,17.04622,352.52917,Invasive_Tumor,1,0,9
501,26.028006,349.86368,Invasive_Tumor,1,0,9
502,5.8194833,354.5188,Invasive_Tumor,1,0,9
503,14.921016,359.23386,Prolif_Invasive_Tumor,1,0,9
504,27.616667,359.34177,Invasive_Tumor,1,0,9
505,20.035854,363.9378,Invasive_Tumor,1,0,9
506,32.40207,365.623,Invasive_Tumor,1,0,9
507,14.048676,370.26364,Invasive_Tumor,1,0,9
508,27.277544,372.5489,Invasive_Tumor,1,0,9
509,5.0906706,371.65576,Invasive_Tumor,1,0,9
510,19.995842,381.26413,Macrophages_1,1,0,9
511,30.919577,385.3277,Endothelial,1,0,9
512,8.213218,386.04114,Invasive_Tumor,1,0,9
513,23.127304,390.85623,Endothelial,1,0,9
514,6.106671,396.99594,Stromal,1,0,9
515,19.858315,400.42377,Invasive_Tumor,1,0,9
516,11.053711,407.15918,Invasive_Tumor,1,0,9
517,22.690945,411.48523,Invasive_Tumor,1,0,9
518,4.575635,417.74612,Invasive_Tumor,1,0,9
519,16.549715,418.4529,Invasive_Tumor,1,0,9
520,27.67738,422.43274,Invasive_Tumor,1,0,9
521,13.006333,424.78082,Invasive_Tumor,1,0,9
522,12.696448,429.75003,Prolif_Invasive_Tumor,1,0,9
523,27.566908,429.7549,Invasive_Tumor,1,0,9
524,17.49265,434.32782,Invasive_Tumor,1,0,9
525,25.054087,440.90793,Invasive_Tumor,1,0,9
526,14.412586,441.61688,Invasive_Tumor,1,0,9
527,5.733665,448.4294,Invasive_Tumor,1,0,9
528,29.205158,158.47493,Invasive_Tumor,1,6,15
529,27.169458,176.79277,Invasive_Tumor,1,6,15
530,33.347755,198.75192,Stromal,1,6,15
