niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,log2_relative_enrichment,local_celltype_entropy,mannwhitney_u,p_greater_raw,relative_enrichment_0to1,across_niche_entropy
I0,DCIS_2,16248,0.006481366262013788,0.0704315677303536,-3.44185232753953,0.5623510234767405,902515316.5,1.0,0.0,0.43126710705746923
I1,DCIS_2,23403,0.3628965899357201,0.0704315677303536,2.3652643991321023,0.3243156037571263,3168302305.0,0.0,0.3146245204253334,0.43126710705746923
I2,DCIS_2,15207,0.006852519658643329,0.0704315677303536,-3.361515728720843,0.41586516749947855,675246921.5,1.0,0.0,0.43126710705746923
I3,DCIS_2,26378,0.0723296523192514,0.0704315677303536,0.03836502088758023,0.3514507344396919,2967771380.5,0.0,0.0020418987166586668,0.43126710705746923
I4,DCIS_2,14194,0.0024747485573147665,0.0704315677303536,-4.830868340213979,0.6287198918260355,777824247.5,1.0,0.0,0.43126710705746923
I5,DCIS_2,43601,0.020331608101115485,0.0704315677303536,-1.7924978681484243,0.38930865574274665,1703242499.5,1.0,0.0,0.43126710705746923
I6,DCIS_2,16766,0.009888236945787157,0.0704315677303536,-2.8324369765971267,0.5541495232377776,1083830829.5,1.0,0.0,0.43126710705746923
I7,DCIS_2,10566,0.0018474093541370961,0.0704315677303536,-5.252646711889956,0.4458053088022237,442587587.0,1.0,0.0,0.43126710705746923
I0,Endothelial,16248,0.07772214939767663,0.05439349926274074,0.5148915582625959,0.525033849077748,1348569620.0,2.143279292661278e-109,0.024670568695062154,0.9455749964810608
I1,Endothelial,23403,0.032242557803311284,0.05439349926274074,-0.7544680433051889,0.5438434184021695,1416982964.0,1.0,0.0,0.9455749964810608
I2,Endothelial,15207,0.13411720535401161,0.05439349926274074,1.30198818071963,0.37165370759541516,1724219271.0,0.0,0.08430960027147957,0.9455749964810608
I3,Endothelial,26378,0.027541246323266277,0.05439349926274074,-0.9818403935652867,0.519399250921538,1255633340.5,1.0,0.0,0.9455749964810608
I4,Endothelial,14194,0.05723504096866178,0.05439349926274074,0.07346443687591622,0.5742006189800655,1229013205.0,1.0398440855322093e-163,0.0030049938359196773,0.9455749964810608
I5,Endothelial,43601,0.044481717988320534,0.05439349926274074,-0.2902217313694779,0.4829163290667418,2767523144.5,1.6074460234830073e-26,0.0,0.9455749964810608
I6,Endothelial,16766,0.06433480512248725,0.05439349926274074,0.24216520582771559,0.5523427492166865,1445999095.5,1.1232447354708009e-232,0.010513153041984795,0.9455749964810608
I7,Endothelial,10566,0.04118695974143359,0.05439349926274074,-0.40124660468081785,0.3772497379264482,533380446.5,1.0,0.0,0.9455749964810608
I0,IRF7+_DCs,16248,0.004252826723528675,0.0030303474938764754,0.48893883619987794,0.5785379324389471,1616751501.0,0.0,0.0012261950266782978,0.5889193150002651
I1,IRF7+_DCs,23403,0.0008395321786340141,0.0030303474938764754,-1.8518257089075125,0.594483012146313,1630228131.0,0.999999999985247,0.0,0.5889193150002651
I2,IRF7+_DCs,15207,0.0010588156076986924,0.0030303474938764754,-1.517031871550325,0.45066996168747553,926564236.0,1.0,0.0,0.5889193150002651
I3,IRF7+_DCs,26378,0.00027176841437240084,0.0030303474938764754,-3.479033536848765,0.5332288539490496,1240322828.5,1.0,0.0,0.5889193150002651
I4,IRF7+_DCs,14194,0.023328714145120187,0.0030303474938764754,2.9445516452152307,0.5594671463757764,2092926221.5,0.0,0.020360064722350246,0.5889193150002651
I5,IRF7+_DCs,43601,0.0006212209516856128,0.0030303474938764754,-2.286304844157136,0.5754248085692336,1927374480.0,1.0,0.0,0.5889193150002651
I6,IRF7+_DCs,16766,0.001433217538468317,0.0030303474938764754,-1.080225635149772,0.5857275069047967,1583983635.0,0.0,0.0,0.5889193150002651
I7,IRF7+_DCs,10566,0.0009348036364273331,0.0030303474938764754,-1.6967479864365524,0.4217516548944351,703170054.0,1.0,0.0,0.5889193150002651
I0,Invasive_Tumor,16248,0.0225528285149973,0.20901900320246636,-3.2122538236204226,0.4694914436387764,629600051.5,1.0,0.0,0.4157134472831376
I1,Invasive_Tumor,23403,0.05483161268597337,0.20901900320246636,-1.9305543011699735,0.3531147191434495,1465928731.0,1.0,0.0,0.4157134472831376
I2,Invasive_Tumor,15207,0.3019774589720155,0.20901900320246636,0.5308067514317372,0.311968196982333,1233001397.0,1.5628421666552973e-50,0.11752299504781098,0.4157134472831376
I3,Invasive_Tumor,26378,0.029530971699125847,0.20901900320246636,-2.8233333791107613,0.38682290993977797,1666710454.5,1.0,0.0,0.4157134472831376
I4,Invasive_Tumor,14194,0.011472224232957845,0.20901900320246636,-4.187417079361419,0.5310345229294785,529764851.0,1.0,0.0,0.4157134472831376
I5,Invasive_Tumor,43601,0.6109995444017634,0.20901900320246636,1.547537191735412,0.2905714229765407,5101132385.5,0.0,0.5082050552754196,0.4157134472831376
I6,Invasive_Tumor,16766,0.0435600341029886,0.20901900320246636,-2.262557123869026,0.455994784892558,757150903.0,1.0,0.0,0.4157134472831376
I7,Invasive_Tumor,10566,0.020714672753226276,0.20901900320246636,-3.334909178314884,0.31304645652952945,338032313.5,1.0,0.0,0.4157134472831376
I0,LAMP3+_DCs,16248,0.003580224927719935,0.001852862566309074,0.9502943520230147,0.591494611030156,1429802353.5,0.0,0.0017305688676842131,0.7816095066890738
I1,LAMP3+_DCs,23403,0.0006097785802098385,0.001852862566309074,-1.6033984951327014,0.5984146169344969,1646865560.5,0.9999970387818704,0.0,0.7816095066890738
I2,LAMP3+_DCs,15207,0.0004979398327579166,0.001852862566309074,-1.8957125394717385,0.4031436273505279,928115543.0,1.0,0.0,0.7816095066890738
I3,LAMP3+_DCs,26378,0.00043639674926870245,0.001852862566309074,-2.0860436126231243,0.6143449587688921,1519431747.0,1.0,0.0,0.7816095066890738
I4,LAMP3+_DCs,14194,0.00716323359461186,0.001852862566309074,1.9508551135505352,0.5619493348707514,1653222941.5,0.0,0.005320228680869774,0.7816095066890738
I5,LAMP3+_DCs,43601,0.0004972622220548057,0.001852862566309074,-1.897677137003279,0.6166205399102096,2186911903.0,1.0,0.0,0.7816095066890738
I6,LAMP3+_DCs,16766,0.0054047676728668816,0.001852862566309074,1.5444767283921084,0.5603485722359298,1696012570.5,0.0,0.003558498515248979,0.7816095066890738
I7,LAMP3+_DCs,10566,0.00026024846703205044,0.001852862566309074,-2.8317942999155767,0.4093730375977135,660958468.0,1.0,0.0,0.7816095066890738
I0,Macrophages_1,16248,0.08939292447928257,0.06676640268729206,0.4210383342321576,0.5545823894339774,1422487281.5,3.5226757545253297e-267,0.024245292772511293,0.9561192419267412
I1,Macrophages_1,23403,0.060625517312009,0.06676640268729206,-0.1391971586086154,0.5178274434926928,1550621476.0,1.0,0.0,0.9561192419267412
I2,Macrophages_1,15207,0.05472656916332503,0.06676640268729206,-0.2868808951423038,0.4311223750569112,1004088417.5,1.0,0.0,0.9561192419267412
I3,Macrophages_1,26378,0.0467751601614783,0.06676640268729206,-0.5133797178613593,0.4567552316113963,1505618117.0,1.0,0.0,0.9561192419267412
I4,Macrophages_1,14194,0.10673260676911857,0.06676640268729206,0.6768067699069682,0.5819778518213351,1526619856.5,0.0,0.04282550927968213,0.9561192419267412
I5,Macrophages_1,43601,0.055682928407340536,0.06676640268729206,-0.26188722562563366,0.4714022595752032,2514869889.5,1.0,0.0,0.9561192419267412
I6,Macrophages_1,16766,0.10883027590104301,0.06676640268729206,0.7048857447916694,0.5358926250756387,1753292814.0,0.0,0.04507325211487878,0.9561192419267412
I7,Macrophages_1,10566,0.03811085859751384,0.06676640268729206,-0.8089202003030523,0.3440117518248636,443723235.0,1.0,0.0,0.9561192419267412
I0,Macrophages_2,16248,0.04618010011445982,0.00992693529696311,2.2178510065049757,0.42205803791481306,2171381725.0,0.0,0.03661665599232366,0.799280452638678
I1,Macrophages_2,23403,0.001638088509256834,0.00992693529696311,-2.5993350774513835,0.5922395556849516,1319017696.5,1.0,0.0,0.799280452638678
I2,Macrophages_2,15207,0.00976849284340876,0.00992693529696311,-0.02321239950430562,0.38313406820612605,1091466656.0,1.0,0.0,0.799280452638678
I3,Macrophages_2,26378,0.0023763155578477376,0.00992693529696311,-2.0626219600334,0.5238053662016686,1346247087.0,1.0,0.0,0.799280452638678
I4,Macrophages_2,14194,0.018638750962771067,0.00992693529696311,0.9088848898139374,0.574393522171631,1666720492.0,0.0,0.008799164401488879,0.799280452638678
I5,Macrophages_2,43601,0.0015317850387733401,0.00992693529696311,-2.6961345356457778,0.5607463634892607,1575958967.5,1.0,0.0,0.799280452638678
I6,Macrophages_2,16766,0.009894066676998896,0.00992693529696311,-0.004784767041191585,0.5725683175762089,1561632684.0,0.0,0.0,0.799280452638678
I7,Macrophages_2,10566,0.014607481522291634,0.00992693529696311,0.557287170168629,0.31438530194251324,988895779.0,1.8576709893595524e-266,0.004727475569424171,0.799280452638678
I0,Mast_Cells,16248,0.002454342738081616,0.0010145786914361784,1.2744559623256828,0.4960582950002998,1410061704.0,1.6936942235319445e-307,0.0014412262841228467,0.9536891079147003
I1,Mast_Cells,23403,0.0008346708754364861,0.0010145786914361784,-0.2816014293116443,0.5935828658361194,1976843776.0,0.0,0.0,0.9536891079147003
I2,Mast_Cells,15207,0.0011328332189387573,0.0010145786914361784,0.1590547103851786,0.40851797866977024,1008075616.5,1.0,0.00011837462787763021,0.9536891079147003
I3,Mast_Cells,26378,0.00032203311606665195,0.0010145786914361784,-1.6555998031270596,0.5555289868699369,1535040181.5,1.0,0.0,0.9536891079147003
I4,Mast_Cells,14194,0.0012887858970733522,0.0010145786914361784,0.34513184594205937,0.5999964287771956,1329149117.0,0.0,0.0002744856929723676,0.9536891079147003
I5,Mast_Cells,43601,0.000359084308528476,0.0010145786914361784,-1.4984862475000316,0.5456645905975457,2197767978.0,1.0,0.0,0.9536891079147003
I6,Mast_Cells,16766,0.0019693924951244028,0.0010145786914361784,0.9568698989356762,0.5692222603657848,1504281439.5,0.0,0.0009557835212825435,0.9536891079147003
