method,niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,relative_enrichment_0to1,p_greater_raw,across_niche_entropy,entropy_rank
CCC only,6,Endothelial,131365,0.04780996385177329,0.04550870507955551,0.0024109792625400498,9.057292322776974e-69,0.9312853058642856,1
CCC only,6,Macrophage,131365,0.11384688158798012,0.08074821531772614,0.03600609352655373,0.0,0.8980996496370368,2
CCC only,6,Fibroblast,131365,0.1572120415654865,0.1119312047958374,0.05098798315420963,0.0,0.8566618851406552,3
CCC only,6,Pericyte,131365,0.016280126383526074,0.01802580989897251,0.0,1.0,0.8562158820904299,4
CCC only,6,Mast cell,131365,0.01811154158960874,0.012513366527855396,0.0056691146177400885,0.0,0.8475684463341316,5
CCC only,6,Unassigned,131365,0.175680461317289,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,6,T cell,131365,0.3234826204528355,0.20878617465496063,0.14496264383141783,0.0,0.7698557118867875,7
CCC only,6,Myoepithelial,131365,0.0021999391484951295,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,6,B cell,131365,0.1290620777493917,0.0838341936469078,0.0493664822299929,0.0,0.740761107710031,9
CCC only,6,Epithelial,131365,0.01631434664842403,0.17895963788032532,0.0,1.0,0.6466090659068701,10
CCC only,7,Endothelial,33684,0.0759066604582234,0.04550870507955551,0.03184728328963887,0.0,0.9312853058642856,1
CCC only,7,Macrophage,33684,0.09018639959713964,0.08074821531772614,0.010267245909869835,7.870762694695332e-155,0.8980996496370368,2
CCC only,7,Fibroblast,33684,0.07112568315427537,0.1119312047958374,0.0,1.0,0.8566618851406552,3
CCC only,7,Pericyte,33684,0.015529289427424087,0.01802580989897251,0.0,3.1602434972139474e-14,0.8562158820904299,4
CCC only,7,Mast cell,33684,0.009193123592502975,0.012513366527855396,0.0,1.0,0.8475684463341316,5
CCC only,7,Unassigned,33684,0.19713902246939127,0.24880528450012207,0.0,1.0,0.7799036545964914,6
CCC only,7,T cell,33684,0.16629013825243544,0.20878617465496063,0.0,1.0,0.7698557118867875,7
CCC only,7,Myoepithelial,33684,0.007715326917398407,0.010875717736780643,0.0,1.0,0.7504657628150292,8
CCC only,7,B cell,33684,0.05793608427884935,0.0838341936469078,0.0,1.0,0.740761107710031,9
CCC only,7,Epithelial,33684,0.30897827176429987,0.17895963788032532,0.15835838914040537,0.0,0.6466090659068701,10
CCC only,8,Endothelial,134580,0.020292741995120562,0.04550870507955551,0.0,1.0,0.9312853058642856,1
CCC only,8,Macrophage,134580,0.049032062535722606,0.08074821531772614,0.0,1.0,0.8980996496370368,2
CCC only,8,Fibroblast,134580,0.038497607970402005,0.1119312047958374,0.0,1.0,0.8566618851406552,3
CCC only,8,Pericyte,134580,0.006603896525425596,0.01802580989897251,0.0,1.0,0.8562158820904299,4
CCC only,8,Mast cell,134580,0.006261659412520681,0.012513366527855396,0.0,1.0,0.8475684463341316,5
CCC only,8,Unassigned,134580,0.23186008060910912,0.24880528450012207,0.0,4.694614569107801e-34,0.7799036545964914,6
CCC only,8,T cell,134580,0.06027121253815105,0.20878617465496063,0.0,1.0,0.7698557118867875,7
CCC only,8,Myoepithelial,134580,0.013762661228870467,0.010875717736780643,0.0029186862537376426,2.5582048016601215e-21,0.7504657628150292,8
CCC only,8,B cell,134580,0.018857884402698075,0.0838341936469078,0.0,1.0,0.740761107710031,9
CCC only,8,Epithelial,134580,0.5545601929037893,0.17895963788032532,0.45746903406811673,0.0,0.6466090659068701,10
